Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;9;0,0000404;
январь 2018;5;0,0000231;
февраль 2018;6;0,0000244;
март 2018;15;0,0000683;
апрель 2018;13;0,0000605;
май 2018;4;0,0000190;
июнь 2018;10;0,0000481;
июль 2018;15;0,0000711;
август 2018;10;0,0000422;
сентябрь 2018;8;0,0000294;
октябрь 2018;1;0,0000040;
ноябрь 2018;11;0,0000446;
декабрь 2018;10;0,0000386;
январь 2019;10;0,0000409;
февраль 2019;18;0,0000700;
март 2019;7;0,0000297;
апрель 2019;9;0,0000384;
май 2019;13;0,0000634;
июнь 2019;28;0,0001299;
июль 2019;16;0,0000755;
август 2019;31;0,0001386;
сентябрь 2019;21;0,0000824;
октябрь 2019;20;0,0000774;
ноябрь 2019;26;0,0000971;
декабрь 2019;22;0,0000794;
январь 2020;9;0,0000343;
февраль 2020;17;0,0000572;
март 2020;9;0,0000246;
апрель 2020;8;0,0000239;
май 2020;11;0,0000412;
июнь 2020;16;0,0000621;
июль 2020;32;0,0001279;
август 2020;12;0,0000443;
сентябрь 2020;12;0,0000390;
октябрь 2020;5;0,0000154;
ноябрь 2020;8;0,0000254;
декабрь 2020;10;0,0000324;
январь 2021;10;0,0000345;
февраль 2021;25;0,0000793;
март 2021;10;0,0000299;
апрель 2021;20;0,0000561;
май 2021;17;0,0000529;
июнь 2021;3;0,0000107;
июль 2021;10;0,0000337;
август 2021;19;0,0000556;
сентябрь 2021;7;0,0000181;
октябрь 2021;16;0,0000408;
ноябрь 2021;7;0,0000176;
декабрь 2021;13;0,0000319;
январь 2022;7;0,0000177;
февраль 2022;24;0,0000571;
март 2022;22;0,0000544;
апрель 2022;45;0,0001142;
май 2022;35;0,0000976;
июнь 2022;44;0,0001219;
июль 2022;22;0,0000609;
август 2022;49;0,0001262;
сентябрь 2022;25;0,0000596;
октябрь 2022;34;0,0000804;
ноябрь 2022;7;0,0000167;
декабрь 2022;32;0,0000752;
январь 2023;24;0,0000620;
февраль 2023;25;0,0000590;
март 2023;15;0,0000384;
апрель 2023;22;0,0000574;
май 2023;20;0,0000567;
июнь 2023;37;0,0001036;
июль 2023;25;0,0000695;
август 2023;12;0,0000336;
сентябрь 2023;30;0,0000749;
октябрь 2023;15;0,0000377;
ноябрь 2023;12;0,0000302;
декабрь 2023;18;0,0000438;
январь 2024;8;0,0000209;
февраль 2024;12;0,0000312;
март 2024;15;0,0000401;
апрель 2024;16;0,0000449;
май 2024;26;0,0000806;
июнь 2024;37;0,0001103;
июль 2024;16;0,0000489;
август 2024;4;0,0000119;
сентябрь 2024;27;0,0000716;
октябрь 2024;30;0,0000762;
ноябрь 2024;20;0,0000500;
декабрь 2024;20;0,0000498;
