Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;11;0,0000434;
январь 2018;18;0,0000736;
февраль 2018;19;0,0000731;
март 2018;13;0,0000545;
апрель 2018;10;0,0000414;
май 2018;37;0,0001707;
июнь 2018;56;0,0002538;
июль 2018;16;0,0000735;
август 2018;25;0,0001001;
сентябрь 2018;9;0,0000306;
октябрь 2018;24;0,0000876;
ноябрь 2018;9;0,0000331;
декабрь 2018;15;0,0000549;
январь 2019;24;0,0000895;
февраль 2019;18;0,0000647;
март 2019;20;0,0000747;
апрель 2019;20;0,0000791;
май 2019;31;0,0001377;
июнь 2019;32;0,0001505;
июль 2019;14;0,0000653;
август 2019;10;0,0000426;
сентябрь 2019;30;0,0001083;
октябрь 2019;23;0,0000836;
ноябрь 2019;9;0,0000299;
декабрь 2019;37;0,0001208;
январь 2020;46;0,0001537;
февраль 2020;18;0,0000554;
март 2020;6;0,0000132;
апрель 2020;2;0,0000053;
май 2020;9;0,0000302;
июнь 2020;11;0,0000414;
июль 2020;6;0,0000225;
август 2020;14;0,0000450;
сентябрь 2020;20;0,0000477;
октябрь 2020;32;0,0000764;
ноябрь 2020;11;0,0000282;
декабрь 2020;48;0,0001336;
январь 2021;23;0,0000706;
февраль 2021;16;0,0000453;
март 2021;38;0,0001004;
апрель 2021;39;0,0000989;
май 2021;50;0,0001371;
июнь 2021;49;0,0001553;
июль 2021;66;0,0002143;
август 2021;36;0,0000966;
сентябрь 2021;35;0,0000821;
октябрь 2021;43;0,0000981;
ноябрь 2021;18;0,0000374;
декабрь 2021;22;0,0000473;
январь 2022;42;0,0000890;
февраль 2022;84;0,0001739;
март 2022;58;0,0001246;
апрель 2022;104;0,0002340;
май 2022;89;0,0002256;
июнь 2022;142;0,0003724;
июль 2022;60;0,0001580;
август 2022;125;0,0002832;
сентябрь 2022;136;0,0002815;
октябрь 2022;93;0,0001863;
ноябрь 2022;121;0,0002375;
декабрь 2022;127;0,0002535;
январь 2023;114;0,0002515;
февраль 2023;44;0,0000879;
март 2023;94;0,0001950;
апрель 2023;78;0,0001699;
май 2023;70;0,0001790;
июнь 2023;90;0,0002359;
июль 2023;65;0,0001692;
август 2023;49;0,0001147;
сентябрь 2023;40;0,0000836;
октябрь 2023;57;0,0001203;
ноябрь 2023;29;0,0000577;
декабрь 2023;40;0,0000823;
январь 2024;39;0,0000851;
февраль 2024;77;0,0001678;
март 2024;31;0,0000699;
апрель 2024;52;0,0001257;
май 2024;37;0,0001037;
июнь 2024;52;0,0001489;
июль 2024;34;0,0000967;
август 2024;33;0,0000848;
сентябрь 2024;23;0,0000512;
октябрь 2024;13;0,0000282;
ноябрь 2024;26;0,0000530;
декабрь 2024;29;0,0000614;
