Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;118;0,000152;
январь 2018;131;0,000176;
февраль 2018;134;0,000169;
март 2018;251;0,000345;
апрель 2018;409;0,000545;
май 2018;470;0,000726;
июнь 2018;622;0,000996;
июль 2018;331;0,000490;
август 2018;106;0,000141;
сентябрь 2018;89;0,000101;
октябрь 2018;120;0,000150;
ноябрь 2018;146;0,000179;
декабрь 2018;203;0,000250;
январь 2019;182;0,000221;
февраль 2019;197;0,000236;
март 2019;253;0,000319;
апрель 2019;355;0,000476;
май 2019;535;0,000768;
июнь 2019;660;0,001034;
июль 2019;317;0,000467;
август 2019;151;0,000198;
сентябрь 2019;105;0,000119;
октябрь 2019;145;0,000161;
ноябрь 2019;128;0,000140;
декабрь 2019;201;0,000218;
январь 2020;131;0,000147;
февраль 2020;149;0,000153;
март 2020;37;0,000030;
апрель 2020;58;0,000054;
май 2020;116;0,000127;
июнь 2020;85;0,000103;
июль 2020;100;0,000123;
август 2020;182;0,000195;
сентябрь 2020;110;0,000101;
октябрь 2020;109;0,000097;
ноябрь 2020;142;0,000128;
декабрь 2020;168;0,000161;
январь 2021;155;0,000153;
февраль 2021;198;0,000180;
март 2021;215;0,000200;
апрель 2021;286;0,000284;
май 2021;469;0,000468;
июнь 2021;393;0,000409;
июль 2021;277;0,000292;
август 2021;196;0,000185;
сентябрь 2021;144;0,000126;
октябрь 2021;164;0,000140;
ноябрь 2021;112;0,000091;
декабрь 2021;163;0,000135;
январь 2022;129;0,000104;
февраль 2022;259;0,000199;
март 2022;280;0,000234;
апрель 2022;508;0,000437;
май 2022;731;0,000678;
июнь 2022;701;0,000693;
июль 2022;392;0,000390;
август 2022;322;0,000285;
сентябрь 2022;172;0,000139;
октябрь 2022;194;0,000151;
ноябрь 2022;184;0,000141;
декабрь 2022;227;0,000180;
январь 2023;219;0,000186;
февраль 2023;290;0,000223;
март 2023;375;0,000310;
апрель 2023;451;0,000394;
май 2023;636;0,000610;
июнь 2023;750;0,000759;
июль 2023;329;0,000321;
август 2023;195;0,000179;
сентябрь 2023;200;0,000165;
октябрь 2023;133;0,000110;
ноябрь 2023;157;0,000126;
декабрь 2023;161;0,000132;
январь 2024;155;0,000134;
февраль 2024;221;0,000182;
март 2024;226;0,000203;
апрель 2024;337;0,000312;
май 2024;428;0,000464;
июнь 2024;470;0,000524;
июль 2024;183;0,000204;
август 2024;120;0,000122;
сентябрь 2024;129;0,000114;
октябрь 2024;86;0,000074;
ноябрь 2024;82;0,000067;
декабрь 2024;133;0,000111;
