Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Удмуртская Республика, все устройства
декабрь 2017;16;0,00002680;
январь 2018;36;0,00006183;
февраль 2018;33;0,00005277;
март 2018;25;0,00004262;
апрель 2018;59;0,00010287;
май 2018;24;0,00004560;
июнь 2018;28;0,00005514;
июль 2018;33;0,00006418;
август 2018;13;0,00002110;
сентябрь 2018;23;0,00003213;
октябрь 2018;27;0,00004194;
ноябрь 2018;16;0,00002515;
декабрь 2018;16;0,00002518;
январь 2019;18;0,00002919;
февраль 2019;14;0,00002169;
март 2019;19;0,00003031;
апрель 2019;13;0,00002240;
май 2019;21;0,00003924;
июнь 2019;53;0,00009947;
июль 2019;25;0,00004579;
август 2019;20;0,00003373;
сентябрь 2019;21;0,00003077;
октябрь 2019;28;0,00004178;
ноябрь 2019;26;0,00003744;
декабрь 2019;34;0,00004723;
январь 2020;16;0,00002328;
февраль 2020;16;0,00002138;
март 2020;1;0,00000099;
апрель 2020;12;0,00001454;
май 2020;5;0,00000729;
июнь 2020;9;0,00001459;
июль 2020;7;0,00001119;
август 2020;32;0,00004382;
сентябрь 2020;19;0,00002279;
октябрь 2020;12;0,00001390;
ноябрь 2020;32;0,00003735;
декабрь 2020;28;0,00003413;
январь 2021;15;0,00001818;
февраль 2021;29;0,00003344;
март 2021;20;0,00002226;
апрель 2021;46;0,00005503;
май 2021;38;0,00004776;
июнь 2021;39;0,00005098;
июль 2021;23;0,00002935;
август 2021;22;0,00002526;
сентябрь 2021;32;0,00003394;
октябрь 2021;14;0,00001461;
ноябрь 2021;30;0,00002986;
декабрь 2021;33;0,00003287;
январь 2022;24;0,00002427;
февраль 2022;28;0,00002628;
март 2022;58;0,00005687;
апрель 2022;48;0,00004906;
май 2022;66;0,00007565;
июнь 2022;65;0,00008042;
июль 2022;50;0,00006124;
август 2022;129;0,00013732;
сентябрь 2022;70;0,00006934;
октябрь 2022;34;0,00003366;
ноябрь 2022;38;0,00003678;
декабрь 2022;44;0,00004315;
январь 2023;46;0,00004908;
февраль 2023;51;0,00004935;
март 2023;59;0,00006169;
апрель 2023;59;0,00006364;
май 2023;69;0,00008216;
июнь 2023;86;0,00010497;
июль 2023;46;0,00005649;
август 2023;22;0,00002455;
сентябрь 2023;44;0,00004461;
октябрь 2023;48;0,00004923;
ноябрь 2023;23;0,00002255;
декабрь 2023;37;0,00003779;
январь 2024;38;0,00004120;
февраль 2024;51;0,00005371;
март 2024;25;0,00002773;
апрель 2024;62;0,00006962;
май 2024;51;0,00006837;
июнь 2024;54;0,00007229;
июль 2024;40;0,00005382;
август 2024;21;0,00002609;
сентябрь 2024;21;0,00002221;
октябрь 2024;17;0,00001733;
ноябрь 2024;48;0,00004688;
декабрь 2024;40;0,00003997;
