Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;670;0,000144;
январь 2018;603;0,000125;
февраль 2018;912;0,000178;
март 2018;990;0,000211;
апрель 2018;1 013;0,000222;
май 2018;1 125;0,000259;
июнь 2018;1 155;0,000272;
июль 2018;1 135;0,000261;
август 2018;805;0,000163;
сентябрь 2018;763;0,000133;
октябрь 2018;802;0,000154;
ноябрь 2018;781;0,000151;
декабрь 2018;794;0,000154;
январь 2019;746;0,000148;
февраль 2019;829;0,000154;
март 2019;869;0,000172;
апрель 2019;963;0,000197;
май 2019;1 215;0,000278;
июнь 2019;1 141;0,000258;
июль 2019;869;0,000199;
август 2019;842;0,000174;
сентябрь 2019;734;0,000133;
октябрь 2019;705;0,000129;
ноябрь 2019;694;0,000125;
декабрь 2019;804;0,000144;
январь 2020;773;0,000139;
февраль 2020;780;0,000135;
март 2020;282;0,000044;
апрель 2020;395;0,000067;
май 2020;718;0,000139;
июнь 2020;401;0,000079;
июль 2020;490;0,000096;
август 2020;1 160;0,000203;
сентябрь 2020;888;0,000139;
октябрь 2020;577;0,000086;
ноябрь 2020;675;0,000104;
декабрь 2020;778;0,000125;
январь 2021;849;0,000143;
февраль 2021;1 047;0,000156;
март 2021;937;0,000144;
апрель 2021;1 084;0,000190;
май 2021;1 168;0,000208;
июнь 2021;964;0,000165;
июль 2021;895;0,000142;
август 2021;703;0,000113;
сентябрь 2021;707;0,000115;
октябрь 2021;581;0,000091;
ноябрь 2021;716;0,000110;
декабрь 2021;805;0,000120;
январь 2022;906;0,000132;
февраль 2022;2 230;0,000307;
март 2022;1 414;0,000211;
апрель 2022;1 939;0,000276;
май 2022;1 740;0,000276;
июнь 2022;1 710;0,000298;
июль 2022;1 642;0,000278;
август 2022;4 536;0,000747;
сентябрь 2022;2 163;0,000334;
октябрь 2022;1 252;0,000182;
ноябрь 2022;986;0,000154;
декабрь 2022;1 045;0,000172;
январь 2023;922;0,000161;
февраль 2023;1 256;0,000196;
март 2023;1 320;0,000221;
апрель 2023;1 251;0,000213;
май 2023;1 434;0,000274;
июнь 2023;1 245;0,000249;
июль 2023;1 033;0,000207;
август 2023;894;0,000162;
сентябрь 2023;952;0,000157;
октябрь 2023;852;0,000142;
ноябрь 2023;755;0,000125;
декабрь 2023;931;0,000155;
январь 2024;880;0,000153;
февраль 2024;923;0,000155;
март 2024;1 102;0,000192;
апрель 2024;1 258;0,000231;
май 2024;1 190;0,000248;
июнь 2024;1 191;0,000251;
июль 2024;840;0,000180;
август 2024;648;0,000127;
сентябрь 2024;696;0,000119;
октябрь 2024;720;0,000118;
ноябрь 2024;663;0,000106;
декабрь 2024;696;0,000116;
