Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;130;0,000083;
январь 2018;187;0,000123;
февраль 2018;182;0,000111;
март 2018;242;0,000161;
апрель 2018;303;0,000205;
май 2018;364;0,000271;
июнь 2018;315;0,000246;
июль 2018;217;0,000159;
август 2018;164;0,000106;
сентябрь 2018;127;0,000070;
октябрь 2018;190;0,000116;
ноябрь 2018;137;0,000084;
декабрь 2018;207;0,000125;
январь 2019;181;0,000110;
февраль 2019;196;0,000118;
март 2019;236;0,000147;
апрель 2019;317;0,000214;
май 2019;338;0,000252;
июнь 2019;256;0,000198;
июль 2019;239;0,000176;
август 2019;153;0,000100;
сентябрь 2019;146;0,000084;
октябрь 2019;133;0,000074;
ноябрь 2019;177;0,000096;
декабрь 2019;161;0,000086;
январь 2020;175;0,000097;
февраль 2020;121;0,000063;
март 2020;59;0,000024;
апрель 2020;106;0,000051;
май 2020;134;0,000076;
июнь 2020;74;0,000047;
июль 2020;96;0,000060;
август 2020;228;0,000125;
сентябрь 2020;144;0,000069;
октябрь 2020;132;0,000060;
ноябрь 2020;154;0,000069;
декабрь 2020;228;0,000102;
январь 2021;201;0,000089;
февраль 2021;343;0,000138;
март 2021;240;0,000105;
апрель 2021;258;0,000130;
май 2021;228;0,000118;
июнь 2021;158;0,000084;
июль 2021;177;0,000095;
август 2021;185;0,000089;
сентябрь 2021;124;0,000054;
октябрь 2021;159;0,000065;
ноябрь 2021;127;0,000053;
декабрь 2021;188;0,000079;
январь 2022;211;0,000089;
февраль 2022;286;0,000111;
март 2022;253;0,000105;
апрель 2022;384;0,000165;
май 2022;533;0,000255;
июнь 2022;472;0,000241;
июль 2022;324;0,000161;
август 2022;522;0,000232;
сентябрь 2022;302;0,000123;
октябрь 2022;209;0,000084;
ноябрь 2022;176;0,000068;
декабрь 2022;228;0,000091;
январь 2023;190;0,000081;
февраль 2023;249;0,000098;
март 2023;233;0,000099;
апрель 2023;341;0,000151;
май 2023;342;0,000165;
июнь 2023;353;0,000176;
июль 2023;218;0,000105;
август 2023;169;0,000074;
сентябрь 2023;179;0,000072;
октябрь 2023;189;0,000078;
ноябрь 2023;126;0,000049;
декабрь 2023;240;0,000096;
январь 2024;161;0,000068;
февраль 2024;200;0,000084;
март 2024;181;0,000082;
апрель 2024;239;0,000110;
май 2024;296;0,000159;
июнь 2024;267;0,000144;
июль 2024;247;0,000133;
август 2024;161;0,000081;
сентябрь 2024;177;0,000077;
октябрь 2024;133;0,000057;
ноябрь 2024;141;0,000058;
декабрь 2024;171;0,000072;
