Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Дагестан, все устройства
декабрь 2017;17;0,000036;
январь 2018;39;0,000085;
февраль 2018;24;0,000049;
март 2018;56;0,000130;
апрель 2018;32;0,000074;
май 2018;60;0,000150;
июнь 2018;69;0,000169;
июль 2018;54;0,000133;
август 2018;35;0,000078;
сентябрь 2018;28;0,000055;
октябрь 2018;19;0,000039;
ноябрь 2018;40;0,000078;
декабрь 2018;22;0,000040;
январь 2019;32;0,000063;
февраль 2019;70;0,000133;
март 2019;41;0,000083;
апрель 2019;49;0,000104;
май 2019;65;0,000157;
июнь 2019;61;0,000146;
июль 2019;52;0,000126;
август 2019;58;0,000126;
сентябрь 2019;32;0,000064;
октябрь 2019;41;0,000079;
ноябрь 2019;43;0,000074;
декабрь 2019;81;0,000131;
январь 2020;76;0,000131;
февраль 2020;54;0,000088;
март 2020;14;0,000016;
апрель 2020;51;0,000069;
май 2020;45;0,000078;
июнь 2020;24;0,000047;
июль 2020;32;0,000063;
август 2020;72;0,000128;
сентябрь 2020;58;0,000087;
октябрь 2020;38;0,000054;
ноябрь 2020;39;0,000059;
декабрь 2020;37;0,000058;
январь 2021;40;0,000067;
февраль 2021;76;0,000122;
март 2021;50;0,000081;
апрель 2021;70;0,000116;
май 2021;75;0,000128;
июнь 2021;61;0,000108;
июль 2021;48;0,000083;
август 2021;55;0,000086;
сентябрь 2021;76;0,000106;
октябрь 2021;32;0,000045;
ноябрь 2021;45;0,000058;
декабрь 2021;150;0,000191;
январь 2022;32;0,000042;
февраль 2022;159;0,000193;
март 2022;103;0,000137;
апрель 2022;91;0,000123;
май 2022;129;0,000192;
июнь 2022;158;0,000234;
июль 2022;95;0,000138;
август 2022;208;0,000279;
сентябрь 2022;108;0,000133;
октябрь 2022;60;0,000074;
ноябрь 2022;35;0,000042;
декабрь 2022;61;0,000075;
январь 2023;68;0,000090;
февраль 2023;76;0,000097;
март 2023;55;0,000074;
апрель 2023;64;0,000086;
май 2023;62;0,000094;
июнь 2023;87;0,000128;
июль 2023;89;0,000130;
август 2023;90;0,000125;
сентябрь 2023;55;0,000071;
октябрь 2023;50;0,000065;
ноябрь 2023;80;0,000098;
декабрь 2023;81;0,000099;
январь 2024;81;0,000108;
февраль 2024;98;0,000129;
март 2024;70;0,000106;
апрель 2024;54;0,000078;
май 2024;88;0,000144;
июнь 2024;77;0,000122;
июль 2024;434;0,000632;
август 2024;266;0,000402;
сентябрь 2024;248;0,000339;
октябрь 2024;323;0,000383;
ноябрь 2024;69;0,000084;
декабрь 2024;62;0,000079;
