Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;107;0,00032;
январь 2018;86;0,00026;
февраль 2018;103;0,00029;
март 2018;127;0,00040;
апрель 2018;140;0,00044;
май 2018;115;0,00037;
июнь 2018;158;0,00050;
июль 2018;104;0,00032;
август 2018;156;0,00044;
сентябрь 2018;84;0,00021;
октябрь 2018;92;0,00025;
ноябрь 2018;51;0,00014;
декабрь 2018;113;0,00030;
январь 2019;138;0,00039;
февраль 2019;152;0,00040;
март 2019;128;0,00037;
апрель 2019;128;0,00036;
май 2019;118;0,00038;
июнь 2019;90;0,00027;
июль 2019;86;0,00026;
август 2019;74;0,00021;
сентябрь 2019;59;0,00015;
октябрь 2019;77;0,00020;
ноябрь 2019;73;0,00018;
декабрь 2019;134;0,00033;
январь 2020;115;0,00029;
февраль 2020;70;0,00016;
март 2020;52;0,00010;
апрель 2020;78;0,00016;
май 2020;96;0,00024;
июнь 2020;40;0,00010;
июль 2020;85;0,00022;
август 2020;167;0,00039;
сентябрь 2020;93;0,00019;
октябрь 2020;92;0,00018;
ноябрь 2020;89;0,00018;
декабрь 2020;127;0,00027;
январь 2021;130;0,00030;
февраль 2021;132;0,00027;
март 2021;124;0,00024;
апрель 2021;181;0,00034;
май 2021;175;0,00036;
июнь 2021;161;0,00034;
июль 2021;78;0,00016;
август 2021;115;0,00022;
сентябрь 2021;107;0,00018;
октябрь 2021;116;0,00019;
ноябрь 2021;86;0,00014;
декабрь 2021;109;0,00018;
январь 2022;128;0,00022;
февраль 2022;206;0,00033;
март 2022;186;0,00031;
апрель 2022;223;0,00037;
май 2022;259;0,00047;
июнь 2022;351;0,00061;
июль 2022;307;0,00055;
август 2022;537;0,00089;
сентябрь 2022;321;0,00050;
октябрь 2022;148;0,00023;
ноябрь 2022;138;0,00021;
декабрь 2022;196;0,00030;
январь 2023;186;0,00031;
февраль 2023;215;0,00033;
март 2023;202;0,00033;
апрель 2023;242;0,00041;
май 2023;208;0,00038;
июнь 2023;187;0,00033;
июль 2023;183;0,00032;
август 2023;127;0,00022;
сентябрь 2023;142;0,00023;
октябрь 2023;136;0,00022;
ноябрь 2023;108;0,00017;
декабрь 2023;111;0,00017;
январь 2024;136;0,00023;
февраль 2024;159;0,00026;
март 2024;132;0,00022;
апрель 2024;138;0,00024;
май 2024;157;0,00030;
июнь 2024;125;0,00023;
июль 2024;136;0,00025;
август 2024;104;0,00018;
сентябрь 2024;106;0,00017;
октябрь 2024;120;0,00019;
ноябрь 2024;96;0,00015;
декабрь 2024;139;0,00022;
