Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;139;0,00082;
январь 2018;72;0,00042;
февраль 2018;78;0,00043;
март 2018;81;0,00048;
апрель 2018;121;0,00072;
май 2018;149;0,00103;
июнь 2018;151;0,00105;
июль 2018;190;0,00131;
август 2018;203;0,00121;
сентябрь 2018;161;0,00079;
октябрь 2018;133;0,00065;
ноябрь 2018;83;0,00041;
декабрь 2018;96;0,00045;
январь 2019;88;0,00041;
февраль 2019;118;0,00054;
март 2019;83;0,00039;
апрель 2019;93;0,00047;
май 2019;120;0,00073;
июнь 2019;137;0,00087;
июль 2019;121;0,00075;
август 2019;108;0,00058;
сентябрь 2019;104;0,00046;
октябрь 2019;119;0,00051;
ноябрь 2019;95;0,00038;
декабрь 2019;136;0,00051;
январь 2020;105;0,00040;
февраль 2020;83;0,00030;
март 2020;48;0,00012;
апрель 2020;74;0,00021;
май 2020;98;0,00039;
июнь 2020;66;0,00029;
июль 2020;89;0,00041;
август 2020;151;0,00054;
сентябрь 2020;123;0,00033;
октябрь 2020;103;0,00026;
ноябрь 2020;85;0,00024;
декабрь 2020;130;0,00039;
январь 2021;153;0,00050;
февраль 2021;131;0,00041;
март 2021;126;0,00038;
апрель 2021;165;0,00049;
май 2021;173;0,00063;
июнь 2021;148;0,00058;
июль 2021;149;0,00058;
август 2021;124;0,00041;
сентябрь 2021;182;0,00047;
октябрь 2021;135;0,00036;
ноябрь 2021;109;0,00027;
декабрь 2021;105;0,00027;
январь 2022;102;0,00025;
февраль 2022;239;0,00060;
март 2022;152;0,00040;
апрель 2022;210;0,00055;
май 2022;278;0,00089;
июнь 2022;208;0,00069;
июль 2022;209;0,00065;
август 2022;424;0,00121;
сентябрь 2022;184;0,00046;
октябрь 2022;194;0,00045;
ноябрь 2022;111;0,00024;
декабрь 2022;197;0,00043;
январь 2023;138;0,00034;
февраль 2023;190;0,00043;
март 2023;162;0,00038;
апрель 2023;244;0,00057;
май 2023;200;0,00054;
июнь 2023;183;0,00053;
июль 2023;157;0,00044;
август 2023;137;0,00036;
сентябрь 2023;115;0,00026;
октябрь 2023;133;0,00030;
ноябрь 2023;77;0,00016;
декабрь 2023;113;0,00025;
январь 2024;132;0,00032;
февраль 2024;181;0,00043;
март 2024;138;0,00034;
апрель 2024;140;0,00036;
май 2024;159;0,00048;
июнь 2024;151;0,00046;
июль 2024;144;0,00044;
август 2024;113;0,00032;
сентябрь 2024;93;0,00022;
октябрь 2024;98;0,00022;
ноябрь 2024;77;0,00016;
декабрь 2024;97;0,00022;
