Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;148;0,000218;
январь 2018;92;0,000136;
февраль 2018;143;0,000195;
март 2018;185;0,000296;
апрель 2018;164;0,000259;
май 2018;217;0,000370;
июнь 2018;218;0,000359;
июль 2018;176;0,000299;
август 2018;149;0,000221;
сентябрь 2018;99;0,000127;
октябрь 2018;96;0,000135;
ноябрь 2018;153;0,000213;
декабрь 2018;131;0,000179;
январь 2019;139;0,000200;
февраль 2019;176;0,000240;
март 2019;137;0,000205;
апрель 2019;208;0,000321;
май 2019;197;0,000337;
июнь 2019;177;0,000294;
июль 2019;150;0,000254;
август 2019;113;0,000178;
сентябрь 2019;105;0,000146;
октябрь 2019;115;0,000157;
ноябрь 2019;107;0,000139;
декабрь 2019;103;0,000131;
январь 2020;128;0,000170;
февраль 2020;126;0,000157;
март 2020;19;0,000017;
апрель 2020;83;0,000080;
май 2020;99;0,000132;
июнь 2020;55;0,000079;
июль 2020;93;0,000136;
август 2020;147;0,000194;
сентябрь 2020;93;0,000107;
октябрь 2020;104;0,000112;
ноябрь 2020;102;0,000112;
декабрь 2020;94;0,000107;
январь 2021;213;0,000243;
февраль 2021;256;0,000259;
март 2021;159;0,000161;
апрель 2021;237;0,000242;
май 2021;330;0,000354;
июнь 2021;215;0,000248;
июль 2021;247;0,000280;
август 2021;145;0,000149;
сентябрь 2021;175;0,000167;
октябрь 2021;108;0,000097;
ноябрь 2021;96;0,000084;
декабрь 2021;156;0,000139;
январь 2022;196;0,000180;
февраль 2022;218;0,000181;
март 2022;229;0,000204;
апрель 2022;338;0,000301;
май 2022;308;0,000311;
июнь 2022;253;0,000262;
июль 2022;194;0,000200;
август 2022;486;0,000449;
сентябрь 2022;353;0,000298;
октябрь 2022;185;0,000141;
ноябрь 2022;193;0,000146;
декабрь 2022;211;0,000167;
январь 2023;196;0,000166;
февраль 2023;202;0,000157;
март 2023;175;0,000144;
апрель 2023;222;0,000189;
май 2023;226;0,000234;
июнь 2023;221;0,000233;
июль 2023;151;0,000161;
август 2023;165;0,000162;
сентябрь 2023;122;0,000105;
октябрь 2023;142;0,000124;
ноябрь 2023;122;0,000105;
декабрь 2023;169;0,000145;
январь 2024;180;0,000157;
февраль 2024;188;0,000175;
март 2024;193;0,000186;
апрель 2024;165;0,000162;
май 2024;162;0,000189;
июнь 2024;198;0,000238;
июль 2024;117;0,000140;
август 2024;81;0,000087;
сентябрь 2024;85;0,000080;
октябрь 2024;182;0,000165;
ноябрь 2024;101;0,000087;
декабрь 2024;132;0,000117;
