Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;297;0,000407;
январь 2018;239;0,000328;
февраль 2018;367;0,000478;
март 2018;398;0,000564;
апрель 2018;492;0,000686;
май 2018;548;0,000942;
июнь 2018;463;0,000854;
июль 2018;351;0,000627;
август 2018;255;0,000369;
сентябрь 2018;306;0,000378;
октябрь 2018;305;0,000402;
ноябрь 2018;247;0,000326;
декабрь 2018;297;0,000382;
январь 2019;334;0,000422;
февраль 2019;367;0,000470;
март 2019;405;0,000533;
апрель 2019;506;0,000708;
май 2019;474;0,000808;
июнь 2019;461;0,000868;
июль 2019;255;0,000468;
август 2019;189;0,000285;
сентябрь 2019;254;0,000326;
октябрь 2019;249;0,000311;
ноябрь 2019;313;0,000375;
декабрь 2019;332;0,000385;
январь 2020;337;0,000397;
февраль 2020;310;0,000336;
март 2020;109;0,000091;
апрель 2020;191;0,000181;
май 2020;239;0,000285;
июнь 2020;147;0,000207;
июль 2020;285;0,000412;
август 2020;486;0,000568;
сентябрь 2020;371;0,000353;
октябрь 2020;295;0,000252;
ноябрь 2020;215;0,000199;
декабрь 2020;359;0,000350;
январь 2021;354;0,000369;
февраль 2021;399;0,000410;
март 2021;446;0,000446;
апрель 2021;545;0,000559;
май 2021;413;0,000473;
июнь 2021;368;0,000476;
июль 2021;298;0,000386;
август 2021;282;0,000298;
сентябрь 2021;213;0,000197;
октябрь 2021;175;0,000156;
ноябрь 2021;177;0,000149;
декабрь 2021;226;0,000195;
январь 2022;305;0,000262;
февраль 2022;519;0,000426;
март 2022;607;0,000526;
апрель 2022;649;0,000584;
май 2022;735;0,000754;
июнь 2022;571;0,000660;
июль 2022;529;0,000578;
август 2022;767;0,000712;
сентябрь 2022;452;0,000383;
октябрь 2022;316;0,000257;
ноябрь 2022;303;0,000236;
декабрь 2022;338;0,000274;
январь 2023;328;0,000289;
февраль 2023;368;0,000299;
март 2023;507;0,000425;
апрель 2023;590;0,000536;
май 2023;533;0,000567;
июнь 2023;425;0,000504;
июль 2023;352;0,000412;
август 2023;220;0,000218;
сентябрь 2023;292;0,000253;
октябрь 2023;180;0,000156;
ноябрь 2023;214;0,000173;
декабрь 2023;319;0,000272;
январь 2024;356;0,000316;
февраль 2024;396;0,000342;
март 2024;410;0,000363;
апрель 2024;460;0,000431;
май 2024;392;0,000474;
июнь 2024;355;0,000459;
июль 2024;327;0,000422;
август 2024;176;0,000192;
сентябрь 2024;214;0,000195;
октябрь 2024;165;0,000144;
ноябрь 2024;217;0,000182;
декабрь 2024;204;0,000179;
