Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;115 079;0,00919;
январь 2018;98 154;0,00748;
февраль 2018;117 269;0,00825;
март 2018;82 389;0,00645;
апрель 2018;64 685;0,00510;
май 2018;56 128;0,00482;
июнь 2018;49 957;0,00417;
июль 2018;46 472;0,00391;
август 2018;45 122;0,00327;
сентябрь 2018;54 195;0,00341;
октябрь 2018;64 181;0,00432;
ноябрь 2018;68 073;0,00458;
декабрь 2018;95 437;0,00635;
январь 2019;85 690;0,00614;
февраль 2019;88 076;0,00617;
март 2019;70 940;0,00525;
апрель 2019;63 452;0,00495;
май 2019;54 042;0,00453;
июнь 2019;47 919;0,00381;
июль 2019;35 588;0,00302;
август 2019;32 051;0,00241;
сентябрь 2019;37 072;0,00249;
октябрь 2019;39 732;0,00276;
ноябрь 2019;40 675;0,00274;
декабрь 2019;51 222;0,00341;
январь 2020;48 894;0,00330;
февраль 2020;48 607;0,00310;
март 2020;32 759;0,00192;
апрель 2020;47 688;0,00302;
май 2020;50 765;0,00363;
июнь 2020;34 930;0,00256;
июль 2020;25 872;0,00192;
август 2020;19 688;0,00127;
сентябрь 2020;20 261;0,00117;
октябрь 2020;22 969;0,00124;
ноябрь 2020;24 827;0,00139;
декабрь 2020;35 047;0,00218;
январь 2021;29 222;0,00185;
февраль 2021;34 894;0,00201;
март 2021;29 021;0,00171;
апрель 2021;25 634;0,00168;
май 2021;23 250;0,00156;
июнь 2021;25 008;0,00154;
июль 2021;20 712;0,00121;
август 2021;20 498;0,00119;
сентябрь 2021;25 161;0,00147;
октябрь 2021;25 804;0,00156;
ноябрь 2021;25 245;0,00148;
декабрь 2021;32 790;0,00190;
январь 2022;27 431;0,00157;
февраль 2022;30 820;0,00170;
март 2022;24 363;0,00145;
апрель 2022;18 872;0,00106;
май 2022;15 023;0,00098;
июнь 2022;12 679;0,00088;
июль 2022;10 829;0,00069;
август 2022;8 769;0,00051;
сентябрь 2022;9 429;0,00056;
октябрь 2022;9 103;0,00054;
ноябрь 2022;7 553;0,00046;
декабрь 2022;8 944;0,00058;
январь 2023;8 248;0,00056;
февраль 2023;8 661;0,00053;
март 2023;7 391;0,00051;
апрель 2023;6 106;0,00043;
май 2023;4 472;0,00034;
июнь 2023;4 714;0,00038;
июль 2023;4 285;0,00035;
август 2023;3 989;0,00029;
сентябрь 2023;4 581;0,00029;
октябрь 2023;4 860;0,00032;
ноябрь 2023;5 277;0,00034;
декабрь 2023;6 840;0,00043;
январь 2024;5 109;0,00036;
февраль 2024;6 169;0,00041;
март 2024;4 690;0,00033;
апрель 2024;5 608;0,00040;
май 2024;3 943;0,00033;
июнь 2024;3 640;0,00032;
июль 2024;4 097;0,00036;
август 2024;4 441;0,00035;
сентябрь 2024;4 819;0,00034;
октябрь 2024;4 514;0,00029;
ноябрь 2024;4 803;0,00031;
декабрь 2024;6 111;0,00041;
