Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;1;0,0000024;
январь 2018;0;0;
февраль 2018;2;0,0000047;
март 2018;7;0,0000177;
апрель 2018;0;0;
май 2018;1;0,0000029;
июнь 2018;3;0,0000090;
июль 2018;1;0,0000029;
август 2018;3;0,0000074;
сентябрь 2018;4;0,0000085;
октябрь 2018;10;0,0000232;
ноябрь 2018;4;0,0000091;
декабрь 2018;0;0;
январь 2019;2;0,0000047;
февраль 2019;11;0,0000253;
март 2019;0;0;
апрель 2019;0;0;
май 2019;3;0,0000083;
июнь 2019;4;0,0000123;
июль 2019;7;0,0000216;
август 2019;0;0;
сентябрь 2019;1;0,0000023;
октябрь 2019;6;0,0000138;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;1;0,0000018;
май 2020;2;0,0000044;
июнь 2020;1;0,0000025;
июль 2020;6;0,0000152;
август 2020;1;0,0000021;
сентябрь 2020;1;0,0000018;
октябрь 2020;0;0;
ноябрь 2020;2;0,0000036;
декабрь 2020;5;0,0000095;
январь 2021;0;0;
февраль 2021;3;0,0000055;
март 2021;3;0,0000053;
апрель 2021;7;0,0000130;
май 2021;7;0,0000133;
июнь 2021;14;0,0000303;
июль 2021;6;0,0000127;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;5;0,0000084;
ноябрь 2021;6;0,0000094;
декабрь 2021;4;0,0000065;
январь 2022;1;0,0000016;
февраль 2022;3;0,0000044;
март 2022;2;0,0000031;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;8;0,0000135;
сентябрь 2022;5;0,0000076;
октябрь 2022;0;0;
ноябрь 2022;4;0,0000058;
декабрь 2022;1;0,0000015;
январь 2023;1;0,0000016;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;1;0,0000019;
август 2023;0;0;
сентябрь 2023;1;0,0000015;
октябрь 2023;0;0;
ноябрь 2023;4;0,0000060;
декабрь 2023;12;0,0000191;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;2;0,0000034;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;3;0,0000049;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
