Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;1;0,0000031;
январь 2018;2;0,0000066;
февраль 2018;3;0,0000093;
март 2018;1;0,0000035;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;1;0,0000038;
август 2018;2;0,0000066;
сентябрь 2018;2;0,0000058;
октябрь 2018;3;0,0000094;
ноябрь 2018;0;0;
декабрь 2018;2;0,0000059;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;30;0,0000935;
апрель 2019;5;0,0000164;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;2;0,0000075;
август 2019;3;0,0000098;
сентябрь 2019;0;0;
октябрь 2019;7;0,0000203;
ноябрь 2019;1;0,0000026;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;2;0,0000051;
март 2020;0;0;
апрель 2020;0;0;
май 2020;2;0,0000054;
июнь 2020;2;0,0000060;
июль 2020;3;0,0000091;
август 2020;0;0;
сентябрь 2020;2;0,0000045;
октябрь 2020;2;0,0000044;
ноябрь 2020;4;0,0000090;
декабрь 2020;1;0,0000023;
январь 2021;4;0,0000098;
февраль 2021;1;0,0000023;
март 2021;4;0,0000091;
апрель 2021;32;0,0000734;
май 2021;8;0,0000189;
июнь 2021;5;0,0000132;
июль 2021;1;0,0000026;
август 2021;2;0,0000045;
сентябрь 2021;10;0,0000208;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;5;0,0000098;
январь 2022;1;0,0000019;
февраль 2022;0;0;
март 2022;19;0,0000373;
апрель 2022;20;0,0000389;
май 2022;22;0,0000480;
июнь 2022;25;0,0000569;
июль 2022;0;0;
август 2022;5;0,0000099;
сентябрь 2022;1;0,0000018;
октябрь 2022;1;0,0000018;
ноябрь 2022;3;0,0000050;
декабрь 2022;5;0,0000090;
январь 2023;10;0,0000194;
февраль 2023;3;0,0000055;
март 2023;8;0,0000154;
апрель 2023;0;0;
май 2023;1;0,0000022;
июнь 2023;4;0,0000091;
июль 2023;0;0;
август 2023;1;0,0000020;
сентябрь 2023;1;0,0000018;
октябрь 2023;1;0,0000018;
ноябрь 2023;8;0,0000148;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;2;0,0000047;
сентябрь 2024;4;0,0000083;
октябрь 2024;7;0,0000141;
ноябрь 2024;0;0;
декабрь 2024;15;0,0000295;
