Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;3;0,00000178;
март 2018;2;0,00000130;
апрель 2018;4;0,00000269;
май 2018;9;0,00000669;
июнь 2018;2;0,00000157;
июль 2018;11;0,00000811;
август 2018;9;0,00000589;
сентябрь 2018;6;0,00000332;
октябрь 2018;9;0,00000532;
ноябрь 2018;7;0,00000422;
декабрь 2018;13;0,00000769;
январь 2019;45;0,00002718;
февраль 2019;6;0,00000347;
март 2019;1;0,00000061;
апрель 2019;8;0,00000520;
май 2019;17;0,00001231;
июнь 2019;18;0,00001311;
июль 2019;31;0,00002173;
август 2019;0;0;
сентябрь 2019;12;0,00000666;
октябрь 2019;3;0,00000163;
ноябрь 2019;11;0,00000585;
декабрь 2019;12;0,00000626;
январь 2020;19;0,00001034;
февраль 2020;6;0,00000303;
март 2020;9;0,00000333;
апрель 2020;6;0,00000266;
май 2020;1;0,00000056;
июнь 2020;15;0,00000905;
июль 2020;2;0,00000116;
август 2020;2;0,00000100;
сентябрь 2020;4;0,00000180;
октябрь 2020;5;0,00000196;
ноябрь 2020;2;0,00000085;
декабрь 2020;7;0,00000321;
январь 2021;7;0,00000326;
февраль 2021;30;0,00001263;
март 2021;5;0,00000220;
апрель 2021;0;0;
май 2021;2;0,00000098;
июнь 2021;7;0,00000346;
июль 2021;4;0,00000191;
август 2021;4;0,00000176;
сентябрь 2021;12;0,00000484;
октябрь 2021;6;0,00000240;
ноябрь 2021;6;0,00000231;
декабрь 2021;3;0,00000120;
январь 2022;4;0,00000158;
февраль 2022;6;0,00000217;
март 2022;5;0,00000194;
апрель 2022;5;0,00000198;
май 2022;0;0;
июнь 2022;3;0,00000144;
июль 2022;3;0,00000141;
август 2022;1;0,00000040;
сентябрь 2022;1;0,00000037;
октябрь 2022;3;0,00000110;
ноябрь 2022;1;0,00000036;
декабрь 2022;2;0,00000074;
январь 2023;19;0,00000757;
февраль 2023;7;0,00000255;
март 2023;1;0,00000040;
апрель 2023;1;0,00000041;
май 2023;1;0,00000045;
июнь 2023;9;0,00000422;
июль 2023;4;0,00000189;
август 2023;11;0,00000469;
сентябрь 2023;1;0,00000037;
октябрь 2023;3;0,00000114;
ноябрь 2023;6;0,00000224;
декабрь 2023;2;0,00000076;
январь 2024;8;0,00000327;
февраль 2024;18;0,00000717;
март 2024;9;0,00000391;
апрель 2024;5;0,00000219;
май 2024;3;0,00000154;
июнь 2024;5;0,00000254;
июль 2024;11;0,00000560;
август 2024;4;0,00000191;
сентябрь 2024;8;0,00000331;
октябрь 2024;6;0,00000238;
ноябрь 2024;6;0,00000230;
декабрь 2024;5;0,00000197;
