Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;9;0,00000377;
январь 2018;77;0,00003227;
февраль 2018;10;0,00000416;
март 2018;14;0,00000663;
апрель 2018;18;0,00000917;
май 2018;21;0,00001173;
июнь 2018;24;0,00001368;
июль 2018;17;0,00000901;
август 2018;4;0,00000183;
сентябрь 2018;84;0,00003202;
октябрь 2018;44;0,00001965;
ноябрь 2018;54;0,00002346;
декабрь 2018;43;0,00001682;
январь 2019;101;0,00004201;
февраль 2019;58;0,00002265;
март 2019;73;0,00003050;
апрель 2019;21;0,00000918;
май 2019;24;0,00001176;
июнь 2019;56;0,00002721;
июль 2019;18;0,00000896;
август 2019;5;0,00000234;
сентябрь 2019;14;0,00000571;
октябрь 2019;26;0,00001028;
ноябрь 2019;48;0,00001777;
декабрь 2019;32;0,00001200;
январь 2020;16;0,00000624;
февраль 2020;27;0,00001003;
март 2020;63;0,00001865;
апрель 2020;17;0,00000590;
май 2020;17;0,00000688;
июнь 2020;26;0,00001001;
июль 2020;15;0,00000582;
август 2020;30;0,00001114;
сентябрь 2020;7;0,00000239;
октябрь 2020;41;0,00001257;
ноябрь 2020;100;0,00003156;
декабрь 2020;25;0,00000881;
январь 2021;40;0,00001493;
февраль 2021;87;0,00002949;
март 2021;86;0,00002966;
апрель 2021;89;0,00003217;
май 2021;51;0,00001910;
июнь 2021;36;0,00001324;
июль 2021;21;0,00000788;
август 2021;25;0,00000875;
сентябрь 2021;41;0,00001338;
октябрь 2021;43;0,00001402;
ноябрь 2021;69;0,00002216;
декабрь 2021;91;0,00002951;
январь 2022;50;0,00001633;
февраль 2022;57;0,00001726;
март 2022;36;0,00001138;
апрель 2022;43;0,00001323;
май 2022;53;0,00001844;
июнь 2022;28;0,00000986;
июль 2022;20;0,00000690;
август 2022;26;0,00000805;
сентябрь 2022;41;0,00001184;
октябрь 2022;23;0,00000664;
ноябрь 2022;21;0,00000611;
декабрь 2022;32;0,00000937;
январь 2023;20;0,00000633;
февраль 2023;7;0,00000203;
март 2023;21;0,00000666;
апрель 2023;7;0,00000226;
май 2023;6;0,00000219;
июнь 2023;4;0,00000145;
июль 2023;8;0,00000301;
август 2023;8;0,00000283;
сентябрь 2023;4;0,00000125;
октябрь 2023;6;0,00000195;
ноябрь 2023;5;0,00000161;
декабрь 2023;9;0,00000282;
январь 2024;6;0,00000202;
февраль 2024;17;0,00000570;
март 2024;9;0,00000321;
апрель 2024;1;0,00000036;
май 2024;9;0,00000389;
июнь 2024;17;0,00000734;
июль 2024;29;0,00001240;
август 2024;16;0,00000635;
сентябрь 2024;31;0,00001068;
октябрь 2024;11;0,00000371;
ноябрь 2024;4;0,00000131;
декабрь 2024;5;0,00000166;
