Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;10;0,0000104;
январь 2018;40;0,0000425;
февраль 2018;53;0,0000535;
март 2018;47;0,0000515;
апрель 2018;25;0,0000271;
май 2018;21;0,0000262;
июнь 2018;14;0,0000172;
июль 2018;64;0,0000783;
август 2018;3;0,0000031;
сентябрь 2018;22;0,0000198;
октябрь 2018;24;0,0000234;
ноябрь 2018;42;0,0000406;
декабрь 2018;24;0,0000230;
январь 2019;34;0,0000328;
февраль 2019;32;0,0000299;
март 2019;11;0,0000106;
апрель 2019;35;0,0000361;
май 2019;24;0,0000278;
июнь 2019;13;0,0000155;
июль 2019;69;0,0000818;
август 2019;22;0,0000230;
сентябрь 2019;21;0,0000192;
октябрь 2019;166;0,0001506;
ноябрь 2019;235;0,0002021;
декабрь 2019;164;0,0001393;
январь 2020;116;0,0001004;
февраль 2020;333;0,0002691;
март 2020;83;0,0000523;
апрель 2020;101;0,0000729;
май 2020;45;0,0000396;
июнь 2020;63;0,0000612;
июль 2020;66;0,0000623;
август 2020;95;0,0000778;
сентябрь 2020;106;0,0000756;
октябрь 2020;72;0,0000457;
ноябрь 2020;70;0,0000480;
декабрь 2020;27;0,0000194;
январь 2021;22;0,0000167;
февраль 2021;5;0,0000035;
март 2021;16;0,0000111;
апрель 2021;14;0,0000102;
май 2021;64;0,0000512;
июнь 2021;63;0,0000515;
июль 2021;16;0,0000128;
август 2021;6;0,0000044;
сентябрь 2021;4;0,0000027;
октябрь 2021;31;0,0000205;
ноябрь 2021;33;0,0000206;
декабрь 2021;21;0,0000135;
январь 2022;20;0,0000129;
февраль 2022;39;0,0000236;
март 2022;16;0,0000100;
апрель 2022;14;0,0000093;
май 2022;27;0,0000199;
июнь 2022;22;0,0000166;
июль 2022;17;0,0000126;
август 2022;7;0,0000046;
сентябрь 2022;18;0,0000109;
октябрь 2022;14;0,0000081;
ноябрь 2022;7;0,0000041;
декабрь 2022;9;0,0000053;
январь 2023;16;0,0000103;
февраль 2023;19;0,0000112;
март 2023;17;0,0000103;
апрель 2023;7;0,0000045;
май 2023;11;0,0000082;
июнь 2023;13;0,0000101;
июль 2023;15;0,0000115;
август 2023;32;0,0000223;
сентябрь 2023;6;0,0000037;
октябрь 2023;8;0,0000050;
ноябрь 2023;13;0,0000078;
декабрь 2023;10;0,0000062;
январь 2024;9;0,0000058;
февраль 2024;8;0,0000051;
март 2024;12;0,0000080;
апрель 2024;12;0,0000086;
май 2024;17;0,0000141;
июнь 2024;15;0,0000127;
июль 2024;13;0,0000109;
август 2024;15;0,0000112;
сентябрь 2024;16;0,0000105;
октябрь 2024;10;0,0000063;
ноябрь 2024;39;0,0000233;
декабрь 2024;27;0,0000170;
