Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;13;0,00001175;
январь 2018;4;0,00000367;
февраль 2018;6;0,00000503;
март 2018;2;0,00000192;
апрель 2018;17;0,00001659;
май 2018;11;0,00001148;
июнь 2018;2;0,00000207;
июль 2018;2;0,00000205;
август 2018;15;0,00001342;
сентябрь 2018;19;0,00001468;
октябрь 2018;10;0,00000844;
ноябрь 2018;30;0,00002532;
декабрь 2018;18;0,00001497;
январь 2019;59;0,00004973;
февраль 2019;16;0,00001311;
март 2019;5;0,00000453;
апрель 2019;3;0,00000283;
май 2019;9;0,00000932;
июнь 2019;8;0,00000803;
июль 2019;40;0,00004049;
август 2019;9;0,00000820;
сентябрь 2019;19;0,00001475;
октябрь 2019;5;0,00000381;
ноябрь 2019;6;0,00000446;
декабрь 2019;5;0,00000369;
январь 2020;4;0,00000303;
февраль 2020;9;0,00000646;
март 2020;5;0,00000294;
апрель 2020;4;0,00000267;
май 2020;4;0,00000314;
июнь 2020;7;0,00000587;
июль 2020;15;0,00001293;
август 2020;3;0,00000223;
сентябрь 2020;5;0,00000322;
октябрь 2020;4;0,00000231;
ноябрь 2020;30;0,00001887;
декабрь 2020;10;0,00000656;
январь 2021;2;0,00000135;
февраль 2021;17;0,00001049;
март 2021;4;0,00000256;
апрель 2021;0;0;
май 2021;2;0,00000132;
июнь 2021;5;0,00000353;
июль 2021;4;0,00000280;
август 2021;1;0,00000062;
сентябрь 2021;8;0,00000446;
октябрь 2021;7;0,00000384;
ноябрь 2021;8;0,00000436;
декабрь 2021;7;0,00000386;
январь 2022;13;0,00000706;
февраль 2022;9;0,00000454;
март 2022;24;0,00001331;
апрель 2022;5;0,00000277;
май 2022;4;0,00000249;
июнь 2022;1;0,00000062;
июль 2022;11;0,00000686;
август 2022;9;0,00000500;
сентябрь 2022;0;0;
октябрь 2022;7;0,00000360;
ноябрь 2022;4;0,00000206;
декабрь 2022;2;0,00000104;
январь 2023;1;0,00000056;
февраль 2023;3;0,00000154;
март 2023;1;0,00000055;
апрель 2023;9;0,00000511;
май 2023;2;0,00000124;
июнь 2023;2;0,00000126;
июль 2023;4;0,00000261;
август 2023;0;0;
сентябрь 2023;2;0,00000107;
октябрь 2023;0;0;
ноябрь 2023;11;0,00000598;
декабрь 2023;6;0,00000324;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;6;0,00000365;
апрель 2024;4;0,00000244;
май 2024;2;0,00000138;
июнь 2024;1;0,00000070;
июль 2024;0;0;
август 2024;2;0,00000128;
сентябрь 2024;9;0,00000515;
октябрь 2024;3;0,00000166;
ноябрь 2024;1;0,00000053;
декабрь 2024;2;0,00000109;
