Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;4;0,0000084;
январь 2018;3;0,0000063;
февраль 2018;0;0;
март 2018;6;0,0000134;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;1;0,0000024;
август 2018;6;0,0000124;
сентябрь 2018;2;0,0000035;
октябрь 2018;3;0,0000059;
ноябрь 2018;1;0,0000019;
декабрь 2018;0;0;
январь 2019;1;0,0000019;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;9;0,0000210;
июль 2019;9;0,0000215;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;1;0,0000017;
декабрь 2019;0;0;
январь 2020;3;0,0000054;
февраль 2020;1;0,0000017;
март 2020;1;0,0000013;
апрель 2020;1;0,0000014;
май 2020;1;0,0000018;
июнь 2020;5;0,0000097;
июль 2020;2;0,0000039;
август 2020;1;0,0000017;
сентябрь 2020;2;0,0000030;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;9;0,0000134;
январь 2021;2;0,0000030;
февраль 2021;1;0,0000013;
март 2021;1;0,0000013;
апрель 2021;0;0;
май 2021;2;0,0000029;
июнь 2021;1;0,0000016;
июль 2021;6;0,0000095;
август 2021;2;0,0000027;
сентябрь 2021;0;0;
октябрь 2021;14;0,0000161;
ноябрь 2021;31;0,0000373;
декабрь 2021;17;0,0000204;
январь 2022;6;0,0000070;
февраль 2022;6;0,0000067;
март 2022;8;0,0000095;
апрель 2022;7;0,0000086;
май 2022;1;0,0000013;
июнь 2022;1;0,0000014;
июль 2022;1;0,0000014;
август 2022;1;0,0000012;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;2;0,0000024;
февраль 2023;2;0,0000022;
март 2023;0;0;
апрель 2023;1;0,0000012;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;3;0,0000044;
август 2023;2;0,0000027;
сентябрь 2023;0;0;
октябрь 2023;2;0,0000024;
ноябрь 2023;0;0;
декабрь 2023;5;0,0000059;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;2;0,0000027;
май 2024;0;0;
июнь 2024;3;0,0000047;
июль 2024;1;0,0000016;
август 2024;0;0;
сентябрь 2024;4;0,0000049;
октябрь 2024;1;0,0000012;
ноябрь 2024;0;0;
декабрь 2024;2;0,0000023;
