Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;8;0,0000252;
январь 2018;18;0,0000580;
февраль 2018;1;0,0000030;
март 2018;2;0,0000066;
апрель 2018;2;0,0000066;
май 2018;0;0;
июнь 2018;2;0,0000074;
июль 2018;4;0,0000147;
август 2018;1;0,0000031;
сентябрь 2018;0;0;
октябрь 2018;12;0,0000344;
ноябрь 2018;5;0,0000147;
декабрь 2018;4;0,0000113;
январь 2019;8;0,0000230;
февраль 2019;4;0,0000110;
март 2019;3;0,0000085;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;3;0,0000106;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;3;0,0000074;
октябрь 2019;0;0;
ноябрь 2019;1;0,0000023;
декабрь 2019;1;0,0000023;
январь 2020;3;0,0000068;
февраль 2020;5;0,0000104;
март 2020;1;0,0000016;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;2;0,0000054;
июль 2020;3;0,0000081;
август 2020;12;0,0000275;
сентябрь 2020;6;0,0000110;
октябрь 2020;2;0,0000032;
ноябрь 2020;1;0,0000017;
декабрь 2020;6;0,0000119;
январь 2021;2;0,0000040;
февраль 2021;0;0;
март 2021;1;0,0000019;
апрель 2021;1;0,0000020;
май 2021;1;0,0000023;
июнь 2021;0;0;
июль 2021;2;0,0000050;
август 2021;1;0,0000021;
сентябрь 2021;2;0,0000038;
октябрь 2021;11;0,0000185;
ноябрь 2021;1;0,0000017;
декабрь 2021;3;0,0000054;
январь 2022;2;0,0000036;
февраль 2022;10;0,0000171;
март 2022;1;0,0000017;
апрель 2022;8;0,0000150;
май 2022;0;0;
июнь 2022;2;0,0000045;
июль 2022;0;0;
август 2022;3;0,0000057;
сентябрь 2022;5;0,0000085;
октябрь 2022;1;0,0000016;
ноябрь 2022;0;0;
декабрь 2022;14;0,0000226;
январь 2023;21;0,0000370;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;3;0,0000062;
июнь 2023;1;0,0000022;
июль 2023;0;0;
август 2023;2;0,0000038;
сентябрь 2023;2;0,0000034;
октябрь 2023;15;0,0000260;
ноябрь 2023;4;0,0000066;
декабрь 2023;0;0;
январь 2024;3;0,0000053;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;2;0,0000041;
май 2024;0;0;
июнь 2024;1;0,0000025;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;2;0,0000034;
декабрь 2024;0;0;
