Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;1;0,0000018;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;1;0,0000020;
май 2018;25;0,0000559;
июнь 2018;6;0,0000135;
июль 2018;6;0,0000131;
август 2018;5;0,0000093;
сентябрь 2018;33;0,0000542;
октябрь 2018;1;0,0000018;
ноябрь 2018;2;0,0000036;
декабрь 2018;1;0,0000017;
январь 2019;2;0,0000037;
февраль 2019;1;0,0000017;
март 2019;3;0,0000055;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;3;0,0000065;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;5;0,0000087;
октябрь 2019;1;0,0000017;
ноябрь 2019;0;0;
декабрь 2019;6;0,0000100;
январь 2020;3;0,0000051;
февраль 2020;5;0,0000078;
март 2020;13;0,0000155;
апрель 2020;7;0,0000096;
май 2020;2;0,0000035;
июнь 2020;23;0,0000432;
июль 2020;5;0,0000094;
август 2020;5;0,0000083;
сентябрь 2020;4;0,0000060;
октябрь 2020;12;0,0000168;
ноябрь 2020;3;0,0000044;
декабрь 2020;2;0,0000030;
январь 2021;2;0,0000031;
февраль 2021;0;0;
март 2021;3;0,0000041;
апрель 2021;0;0;
май 2021;3;0,0000045;
июнь 2021;0;0;
июль 2021;1;0,0000016;
август 2021;1;0,0000013;
сентябрь 2021;3;0,0000037;
октябрь 2021;0;0;
ноябрь 2021;3;0,0000035;
декабрь 2021;2;0,0000023;
январь 2022;2;0,0000024;
февраль 2022;3;0,0000033;
март 2022;4;0,0000046;
апрель 2022;0;0;
май 2022;10;0,0000135;
июнь 2022;12;0,0000167;
июль 2022;17;0,0000236;
август 2022;20;0,0000243;
сентябрь 2022;4;0,0000045;
октябрь 2022;0;0;
ноябрь 2022;2;0,0000022;
декабрь 2022;1;0,0000011;
январь 2023;1;0,0000012;
февраль 2023;1;0,0000011;
март 2023;0;0;
апрель 2023;0;0;
май 2023;2;0,0000027;
июнь 2023;2;0,0000027;
июль 2023;2;0,0000028;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;5;0,0000058;
декабрь 2023;15;0,0000173;
январь 2024;8;0,0000098;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;2;0,0000026;
май 2024;2;0,0000030;
июнь 2024;2;0,0000030;
июль 2024;3;0,0000045;
август 2024;1;0,0000014;
сентябрь 2024;5;0,0000062;
октябрь 2024;2;0,0000024;
ноябрь 2024;1;0,0000011;
декабрь 2024;2;0,0000023;
