Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;2;0,00000194;
январь 2018;9;0,00000913;
февраль 2018;5;0,00000469;
март 2018;9;0,00000895;
апрель 2018;1;0,00000095;
май 2018;4;0,00000476;
июнь 2018;1;0,00000115;
июль 2018;0;0;
август 2018;2;0,00000199;
сентябрь 2018;3;0,00000256;
октябрь 2018;31;0,00002867;
ноябрь 2018;8;0,00000729;
декабрь 2018;11;0,00000996;
январь 2019;6;0,00000549;
февраль 2019;3;0,00000270;
март 2019;11;0,00001016;
апрель 2019;5;0,00000492;
май 2019;6;0,00000663;
июнь 2019;6;0,00000685;
июль 2019;4;0,00000450;
август 2019;1;0,00000102;
сентябрь 2019;0;0;
октябрь 2019;10;0,00000887;
ноябрь 2019;3;0,00000250;
декабрь 2019;1;0,00000081;
январь 2020;11;0,00000914;
февраль 2020;4;0,00000298;
март 2020;1;0,00000061;
апрель 2020;3;0,00000198;
май 2020;0;0;
июнь 2020;7;0,00000645;
июль 2020;11;0,00001018;
август 2020;11;0,00000876;
сентябрь 2020;1;0,00000066;
октябрь 2020;2;0,00000119;
ноябрь 2020;2;0,00000136;
декабрь 2020;5;0,00000352;
январь 2021;12;0,00000903;
февраль 2021;2;0,00000140;
март 2021;5;0,00000347;
апрель 2021;3;0,00000219;
май 2021;0;0;
июнь 2021;18;0,00001505;
июль 2021;13;0,00001057;
август 2021;4;0,00000294;
сентябрь 2021;4;0,00000264;
октябрь 2021;0;0;
ноябрь 2021;1;0,00000062;
декабрь 2021;3;0,00000188;
январь 2022;4;0,00000252;
февраль 2022;17;0,00001006;
март 2022;3;0,00000188;
апрель 2022;5;0,00000331;
май 2022;2;0,00000143;
июнь 2022;1;0,00000075;
июль 2022;0;0;
август 2022;2;0,00000132;
сентябрь 2022;0;0;
октябрь 2022;11;0,00000636;
ноябрь 2022;18;0,00001030;
декабрь 2022;3;0,00000176;
январь 2023;7;0,00000438;
февраль 2023;9;0,00000518;
март 2023;3;0,00000179;
апрель 2023;1;0,00000063;
май 2023;0;0;
июнь 2023;3;0,00000226;
июль 2023;0;0;
август 2023;2;0,00000138;
сентябрь 2023;4;0,00000247;
октябрь 2023;0;0;
ноябрь 2023;3;0,00000176;
декабрь 2023;0;0;
январь 2024;5;0,00000318;
февраль 2024;2;0,00000127;
март 2024;0;0;
апрель 2024;6;0,00000420;
май 2024;3;0,00000247;
июнь 2024;0;0;
июль 2024;6;0,00000499;
август 2024;1;0,00000075;
сентябрь 2024;7;0,00000451;
октябрь 2024;1;0,00000064;
ноябрь 2024;0;0;
декабрь 2024;1;0,00000063;
