Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;6;0,00001092;
январь 2018;8;0,00001484;
февраль 2018;14;0,00002448;
март 2018;7;0,00001327;
апрель 2018;17;0,00003166;
май 2018;1;0,00000197;
июнь 2018;4;0,00000728;
июль 2018;9;0,00001674;
август 2018;6;0,00001059;
сентябрь 2018;18;0,00002806;
октябрь 2018;6;0,00000992;
ноябрь 2018;14;0,00002042;
декабрь 2018;43;0,00005349;
январь 2019;22;0,00002944;
февраль 2019;18;0,00002239;
март 2019;34;0,00004371;
апрель 2019;68;0,00008376;
май 2019;23;0,00003063;
июнь 2019;128;0,00017512;
июль 2019;68;0,00009159;
август 2019;82;0,00011817;
сентябрь 2019;39;0,00005420;
октябрь 2019;28;0,00003880;
ноябрь 2019;23;0,00003059;
декабрь 2019;9;0,00001171;
январь 2020;15;0,00002024;
февраль 2020;10;0,00001234;
март 2020;5;0,00000507;
апрель 2020;6;0,00000682;
май 2020;13;0,00001687;
июнь 2020;9;0,00001265;
июль 2020;28;0,00003809;
август 2020;7;0,00000862;
сентябрь 2020;11;0,00001230;
октябрь 2020;28;0,00003280;
ноябрь 2020;18;0,00002061;
декабрь 2020;6;0,00000726;
январь 2021;9;0,00001155;
февраль 2021;20;0,00002354;
март 2021;8;0,00000948;
апрель 2021;11;0,00001315;
май 2021;18;0,00002203;
июнь 2021;14;0,00001755;
июль 2021;8;0,00000974;
август 2021;33;0,00003986;
сентябрь 2021;3;0,00000342;
октябрь 2021;16;0,00001764;
ноябрь 2021;9;0,00000963;
декабрь 2021;3;0,00000321;
январь 2022;8;0,00000874;
февраль 2022;12;0,00001191;
март 2022;17;0,00001774;
апрель 2022;3;0,00000312;
май 2022;3;0,00000329;
июнь 2022;6;0,00000675;
июль 2022;3;0,00000342;
август 2022;5;0,00000519;
сентябрь 2022;14;0,00001361;
октябрь 2022;16;0,00001440;
ноябрь 2022;0;0;
декабрь 2022;6;0,00000574;
январь 2023;5;0,00000519;
февраль 2023;6;0,00000566;
март 2023;1;0,00000098;
апрель 2023;1;0,00000103;
май 2023;5;0,00000574;
июнь 2023;11;0,00001265;
июль 2023;0;0;
август 2023;5;0,00000555;
сентябрь 2023;1;0,00000101;
октябрь 2023;0;0;
ноябрь 2023;1;0,00000100;
декабрь 2023;7;0,00000692;
январь 2024;0;0;
февраль 2024;4;0,00000412;
март 2024;28;0,00003024;
апрель 2024;2;0,00000222;
май 2024;7;0,00000857;
июнь 2024;1;0,00000124;
июль 2024;1;0,00000125;
август 2024;2;0,00000239;
сентябрь 2024;25;0,00002619;
октябрь 2024;14;0,00001425;
ноябрь 2024;25;0,00002462;
декабрь 2024;18;0,00001810;
