Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;10;0,00001657;
январь 2018;6;0,00001007;
февраль 2018;3;0,00000456;
март 2018;2;0,00000336;
апрель 2018;3;0,00000521;
май 2018;5;0,00000918;
июнь 2018;1;0,00000182;
июль 2018;2;0,00000364;
август 2018;11;0,00001706;
сентябрь 2018;20;0,00002714;
октябрь 2018;2;0,00000299;
ноябрь 2018;7;0,00001056;
декабрь 2018;10;0,00001450;
январь 2019;5;0,00000759;
февраль 2019;15;0,00002127;
март 2019;38;0,00005815;
апрель 2019;16;0,00002489;
май 2019;7;0,00001182;
июнь 2019;9;0,00001476;
июль 2019;11;0,00001799;
август 2019;8;0,00001229;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;2;0,00000272;
декабрь 2019;1;0,00000133;
январь 2020;1;0,00000139;
февраль 2020;0;0;
март 2020;1;0,00000100;
апрель 2020;5;0,00000560;
май 2020;6;0,00000843;
июнь 2020;13;0,00001871;
июль 2020;11;0,00001635;
август 2020;0;0;
сентябрь 2020;3;0,00000358;
октябрь 2020;1;0,00000116;
ноябрь 2020;13;0,00001554;
декабрь 2020;11;0,00001339;
январь 2021;2;0,00000250;
февраль 2021;5;0,00000562;
март 2021;1;0,00000110;
апрель 2021;3;0,00000333;
май 2021;0;0;
июнь 2021;2;0,00000254;
июль 2021;4;0,00000487;
август 2021;17;0,00001879;
сентябрь 2021;6;0,00000612;
октябрь 2021;29;0,00002883;
ноябрь 2021;17;0,00001659;
декабрь 2021;10;0,00000974;
январь 2022;7;0,00000699;
февраль 2022;5;0,00000449;
март 2022;15;0,00001429;
апрель 2022;11;0,00001062;
май 2022;21;0,00002265;
июнь 2022;7;0,00000780;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;6;0,00000555;
октябрь 2022;10;0,00000923;
ноябрь 2022;1;0,00000093;
декабрь 2022;3;0,00000279;
январь 2023;9;0,00000912;
февраль 2023;5;0,00000459;
март 2023;8;0,00000806;
апрель 2023;0;0;
май 2023;2;0,00000220;
июнь 2023;4;0,00000445;
июль 2023;4;0,00000459;
август 2023;2;0,00000216;
сентябрь 2023;0;0;
октябрь 2023;3;0,00000293;
ноябрь 2023;1;0,00000097;
декабрь 2023;0;0;
январь 2024;8;0,00000819;
февраль 2024;2;0,00000196;
март 2024;2;0,00000210;
апрель 2024;0;0;
май 2024;4;0,00000494;
июнь 2024;5;0,00000627;
июль 2024;2;0,00000251;
август 2024;2;0,00000237;
сентябрь 2024;7;0,00000725;
октябрь 2024;5;0,00000499;
ноябрь 2024;5;0,00000480;
декабрь 2024;1;0,00000096;
