Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;6;0,00000709;
январь 2018;24;0,00002964;
февраль 2018;1;0,00000114;
март 2018;15;0,00001901;
апрель 2018;3;0,00000361;
май 2018;1;0,00000143;
июнь 2018;2;0,00000285;
июль 2018;6;0,00000826;
август 2018;2;0,00000244;
сентябрь 2018;5;0,00000524;
октябрь 2018;44;0,00004907;
ноябрь 2018;0;0;
декабрь 2018;1;0,00000112;
январь 2019;1;0,00000114;
февраль 2019;1;0,00000111;
март 2019;0;0;
апрель 2019;2;0,00000246;
май 2019;4;0,00000546;
июнь 2019;2;0,00000284;
июль 2019;1;0,00000140;
август 2019;0;0;
сентябрь 2019;1;0,00000110;
октябрь 2019;0;0;
ноябрь 2019;3;0,00000304;
декабрь 2019;0;0;
январь 2020;2;0,00000205;
февраль 2020;1;0,00000092;
март 2020;5;0,00000396;
апрель 2020;2;0,00000175;
май 2020;1;0,00000103;
июнь 2020;4;0,00000443;
июль 2020;3;0,00000336;
август 2020;2;0,00000192;
сентябрь 2020;7;0,00000577;
октябрь 2020;3;0,00000242;
ноябрь 2020;1;0,00000082;
декабрь 2020;2;0,00000171;
январь 2021;4;0,00000359;
февраль 2021;0;0;
март 2021;1;0,00000084;
апрель 2021;2;0,00000180;
май 2021;1;0,00000090;
июнь 2021;2;0,00000191;
июль 2021;1;0,00000093;
август 2021;3;0,00000261;
сентябрь 2021;1;0,00000078;
октябрь 2021;51;0,00003904;
ноябрь 2021;44;0,00003254;
декабрь 2021;15;0,00001121;
январь 2022;3;0,00000227;
февраль 2022;3;0,00000207;
март 2022;1;0,00000075;
апрель 2022;2;0,00000157;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;2;0,00000158;
сентябрь 2022;1;0,00000071;
октябрь 2022;1;0,00000067;
ноябрь 2022;2;0,00000135;
декабрь 2022;8;0,00000549;
январь 2023;3;0,00000222;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;7;0,00000606;
август 2023;0;0;
сентябрь 2023;4;0,00000290;
октябрь 2023;2;0,00000146;
ноябрь 2023;0;0;
декабрь 2023;4;0,00000287;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;3;0,00000240;
апрель 2024;2;0,00000165;
май 2024;5;0,00000477;
июнь 2024;1;0,00000097;
июль 2024;3;0,00000288;
август 2024;1;0,00000089;
сентябрь 2024;6;0,00000467;
октябрь 2024;0;0;
ноябрь 2024;2;0,00000146;
декабрь 2024;1;0,00000074;
