Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;3;0,0000083;
январь 2018;2;0,0000057;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;1;0,0000033;
июнь 2018;2;0,0000074;
июль 2018;6;0,0000209;
август 2018;1;0,0000028;
сентябрь 2018;5;0,0000124;
октябрь 2018;3;0,0000082;
ноябрь 2018;0;0;
декабрь 2018;1;0,0000027;
январь 2019;3;0,0000087;
февраль 2019;1;0,0000027;
март 2019;1;0,0000028;
апрель 2019;3;0,0000089;
май 2019;2;0,0000069;
июнь 2019;2;0,0000073;
июль 2019;0;0;
август 2019;1;0,0000030;
сентябрь 2019;2;0,0000053;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;2;0,0000045;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;2;0,0000060;
июль 2020;5;0,0000151;
август 2020;2;0,0000051;
сентябрь 2020;1;0,0000022;
октябрь 2020;7;0,0000149;
ноябрь 2020;0;0;
декабрь 2020;2;0,0000044;
январь 2021;1;0,0000024;
февраль 2021;17;0,0000371;
март 2021;9;0,0000185;
апрель 2021;10;0,0000196;
май 2021;7;0,0000165;
июнь 2021;0;0;
июль 2021;2;0,0000054;
август 2021;3;0,0000064;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;14;0,0000255;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;11;0,0000186;
март 2022;2;0,0000035;
апрель 2022;5;0,0000090;
май 2022;17;0,0000368;
июнь 2022;11;0,0000258;
июль 2022;3;0,0000070;
август 2022;3;0,0000057;
сентябрь 2022;4;0,0000070;
октябрь 2022;3;0,0000051;
ноябрь 2022;0;0;
декабрь 2022;12;0,0000207;
январь 2023;2;0,0000037;
февраль 2023;0;0;
март 2023;3;0,0000053;
апрель 2023;0;0;
май 2023;3;0,0000068;
июнь 2023;3;0,0000073;
июль 2023;0;0;
август 2023;4;0,0000084;
сентябрь 2023;0;0;
октябрь 2023;3;0,0000056;
ноябрь 2023;0;0;
декабрь 2023;5;0,0000090;
январь 2024;3;0,0000058;
февраль 2024;0;0;
март 2024;1;0,0000019;
апрель 2024;5;0,0000102;
май 2024;1;0,0000025;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;1;0,0000023;
сентябрь 2024;3;0,0000059;
октябрь 2024;3;0,0000058;
ноябрь 2024;0;0;
декабрь 2024;0;0;
