Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;286;0,0000615;
январь 2018;344;0,0000716;
февраль 2018;297;0,0000581;
март 2018;284;0,0000607;
апрель 2018;190;0,0000417;
май 2018;174;0,0000401;
июнь 2018;470;0,0001109;
июль 2018;226;0,0000521;
август 2018;281;0,0000571;
сентябрь 2018;309;0,0000542;
октябрь 2018;327;0,0000631;
ноябрь 2018;296;0,0000574;
декабрь 2018;284;0,0000552;
январь 2019;299;0,0000594;
февраль 2019;361;0,0000673;
март 2019;299;0,0000593;
апрель 2019;311;0,0000636;
май 2019;298;0,0000683;
июнь 2019;257;0,0000583;
июль 2019;147;0,0000336;
август 2019;101;0,0000209;
сентябрь 2019;227;0,0000413;
октябрь 2019;253;0,0000465;
ноябрь 2019;228;0,0000412;
декабрь 2019;633;0,0001134;
январь 2020;219;0,0000396;
февраль 2020;159;0,0000277;
март 2020;134;0,0000210;
апрель 2020;299;0,0000511;
май 2020;333;0,0000649;
июнь 2020;388;0,0000772;
июль 2020;345;0,0000682;
август 2020;384;0,0000673;
сентябрь 2020;417;0,0000657;
октябрь 2020;401;0,0000599;
ноябрь 2020;422;0,0000651;
декабрь 2020;416;0,0000669;
январь 2021;172;0,0000290;
февраль 2021;283;0,0000421;
март 2021;289;0,0000444;
апрель 2021;253;0,0000443;
май 2021;373;0,0000666;
июнь 2021;283;0,0000484;
июль 2021;381;0,0000606;
август 2021;292;0,0000473;
сентябрь 2021;222;0,0000363;
октябрь 2021;235;0,0000371;
ноябрь 2021;536;0,0000826;
декабрь 2021;475;0,0000709;
январь 2022;531;0,0000776;
февраль 2022;415;0,0000572;
март 2022;284;0,0000424;
апрель 2022;237;0,0000337;
май 2022;291;0,0000461;
июнь 2022;188;0,0000327;
июль 2022;152;0,0000257;
август 2022;93;0,0000153;
сентябрь 2022;155;0,0000239;
октябрь 2022;348;0,0000508;
ноябрь 2022;117;0,0000182;
декабрь 2022;114;0,0000188;
январь 2023;119;0,0000208;
февраль 2023;111;0,0000173;
март 2023;194;0,0000324;
апрель 2023;150;0,0000256;
май 2023;73;0,0000139;
июнь 2023;90;0,0000180;
июль 2023;78;0,0000156;
август 2023;83;0,0000150;
сентябрь 2023;52;0,0000086;
октябрь 2023;73;0,0000121;
ноябрь 2023;46;0,0000076;
декабрь 2023;155;0,0000258;
январь 2024;74;0,0000129;
февраль 2024;138;0,0000232;
март 2024;194;0,0000338;
апрель 2024;73;0,0000134;
май 2024;75;0,0000156;
июнь 2024;53;0,0000111;
июль 2024;77;0,0000165;
август 2024;65;0,0000127;
сентябрь 2024;113;0,0000194;
октябрь 2024;118;0,0000194;
ноябрь 2024;100;0,0000161;
декабрь 2024;95;0,0000159;
