Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;1;0,00000064;
январь 2018;5;0,00000329;
февраль 2018;1;0,00000061;
март 2018;2;0,00000133;
апрель 2018;3;0,00000203;
май 2018;4;0,00000298;
июнь 2018;5;0,00000391;
июль 2018;7;0,00000513;
август 2018;8;0,00000519;
сентябрь 2018;12;0,00000669;
октябрь 2018;14;0,00000862;
ноябрь 2018;3;0,00000184;
декабрь 2018;10;0,00000607;
январь 2019;53;0,00003249;
февраль 2019;8;0,00000483;
март 2019;10;0,00000626;
апрель 2019;7;0,00000473;
май 2019;12;0,00000895;
июнь 2019;10;0,00000777;
июль 2019;24;0,00001769;
август 2019;7;0,00000461;
сентябрь 2019;8;0,00000462;
октябрь 2019;43;0,00002422;
ноябрь 2019;17;0,00000926;
декабрь 2019;144;0,00007756;
январь 2020;15;0,00000832;
февраль 2020;4;0,00000210;
март 2020;4;0,00000166;
апрель 2020;8;0,00000392;
май 2020;4;0,00000229;
июнь 2020;32;0,00002038;
июль 2020;9;0,00000565;
август 2020;4;0,00000220;
сентябрь 2020;7;0,00000338;
октябрь 2020;12;0,00000552;
ноябрь 2020;14;0,00000627;
декабрь 2020;9;0,00000402;
январь 2021;7;0,00000312;
февраль 2021;18;0,00000727;
март 2021;2;0,00000087;
апрель 2021;2;0,00000101;
май 2021;6;0,00000310;
июнь 2021;6;0,00000319;
июль 2021;6;0,00000324;
август 2021;4;0,00000193;
сентябрь 2021;3;0,00000132;
октябрь 2021;16;0,00000664;
ноябрь 2021;1;0,00000041;
декабрь 2021;10;0,00000421;
январь 2022;4;0,00000169;
февраль 2022;26;0,00001011;
март 2022;6;0,00000249;
апрель 2022;16;0,00000690;
май 2022;8;0,00000383;
июнь 2022;31;0,00001585;
июль 2022;5;0,00000249;
август 2022;6;0,00000266;
сентябрь 2022;13;0,00000531;
октябрь 2022;2;0,00000080;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;11;0,00000471;
февраль 2023;12;0,00000476;
март 2023;4;0,00000171;
апрель 2023;4;0,00000178;
май 2023;25;0,00001206;
июнь 2023;0;0;
июль 2023;12;0,00000583;
август 2023;7;0,00000307;
сентябрь 2023;0;0;
октябрь 2023;6;0,00000248;
ноябрь 2023;9;0,00000356;
декабрь 2023;14;0,00000561;
январь 2024;21;0,00000891;
февраль 2024;3;0,00000126;
март 2024;9;0,00000409;
апрель 2024;8;0,00000370;
май 2024;1;0,00000053;
июнь 2024;4;0,00000216;
июль 2024;5;0,00000270;
август 2024;22;0,00001119;
сентябрь 2024;18;0,00000783;
октябрь 2024;3;0,00000129;
ноябрь 2024;10;0,00000413;
декабрь 2024;3;0,00000127;
