Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;15;0,0000887;
январь 2018;53;0,0003124;
февраль 2018;6;0,0000337;
март 2018;6;0,0000357;
апрель 2018;10;0,0000596;
май 2018;7;0,0000488;
июнь 2018;2;0,0000139;
июль 2018;6;0,0000413;
август 2018;2;0,0000120;
сентябрь 2018;5;0,0000246;
октябрь 2018;3;0,0000147;
ноябрь 2018;1;0,0000049;
декабрь 2018;5;0,0000237;
январь 2019;0;0;
февраль 2019;1;0,0000046;
март 2019;2;0,0000095;
апрель 2019;4;0,0000202;
май 2019;3;0,0000184;
июнь 2019;9;0,0000574;
июль 2019;11;0,0000688;
август 2019;1;0,0000054;
сентябрь 2019;6;0,0000265;
октябрь 2019;3;0,0000130;
ноябрь 2019;3;0,0000120;
декабрь 2019;2;0,0000075;
январь 2020;4;0,0000153;
февраль 2020;5;0,0000181;
март 2020;3;0,0000081;
апрель 2020;0;0;
май 2020;9;0,0000361;
июнь 2020;3;0,0000135;
июль 2020;2;0,0000093;
август 2020;4;0,0000145;
сентябрь 2020;1;0,0000027;
октябрь 2020;4;0,0000104;
ноябрь 2020;2;0,0000057;
декабрь 2020;1;0,0000030;
январь 2021;4;0,0000132;
февраль 2021;3;0,0000094;
март 2021;4;0,0000122;
апрель 2021;16;0,0000484;
май 2021;0;0;
июнь 2021;15;0,0000588;
июль 2021;0;0;
август 2021;3;0,0000100;
сентябрь 2021;4;0,0000105;
октябрь 2021;11;0,0000301;
ноябрь 2021;4;0,0000101;
декабрь 2021;20;0,0000522;
январь 2022;7;0,0000175;
февраль 2022;5;0,0000126;
март 2022;22;0,0000581;
апрель 2022;15;0,0000395;
май 2022;9;0,0000290;
июнь 2022;4;0,0000134;
июль 2022;6;0,0000187;
август 2022;0;0;
сентябрь 2022;6;0,0000151;
октябрь 2022;1;0,0000023;
ноябрь 2022;0;0;
декабрь 2022;12;0,0000265;
январь 2023;1;0,0000024;
февраль 2023;11;0,0000254;
март 2023;9;0,0000214;
апрель 2023;5;0,0000117;
май 2023;0;0;
июнь 2023;1;0,0000029;
июль 2023;3;0,0000085;
август 2023;12;0,0000318;
сентябрь 2023;10;0,0000231;
октябрь 2023;4;0,0000091;
ноябрь 2023;13;0,0000281;
декабрь 2023;5;0,0000113;
январь 2024;4;0,0000097;
февраль 2024;5;0,0000118;
март 2024;1;0,0000024;
апрель 2024;4;0,0000104;
май 2024;7;0,0000213;
июнь 2024;3;0,0000093;
июль 2024;7;0,0000218;
август 2024;6;0,0000170;
сентябрь 2024;7;0,0000166;
октябрь 2024;7;0,0000163;
ноябрь 2024;6;0,0000131;
декабрь 2024;3;0,0000070;
