Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;9;0,0000184;
январь 2018;2;0,0000041;
февраль 2018;2;0,0000038;
март 2018;2;0,0000044;
апрель 2018;2;0,0000044;
май 2018;6;0,0000139;
июнь 2018;0;0;
июль 2018;1;0,0000023;
август 2018;4;0,0000081;
сентябрь 2018;0;0;
октябрь 2018;1;0,0000019;
ноябрь 2018;0;0;
декабрь 2018;2;0,0000035;
январь 2019;2;0,0000037;
февраль 2019;2;0,0000035;
март 2019;0;0;
апрель 2019;3;0,0000060;
май 2019;3;0,0000067;
июнь 2019;2;0,0000042;
июль 2019;1;0,0000021;
август 2019;2;0,0000041;
сентябрь 2019;0;0;
октябрь 2019;5;0,0000089;
ноябрь 2019;0;0;
декабрь 2019;2;0,0000032;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;1;0,0000012;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;2;0,0000035;
июль 2020;2;0,0000036;
август 2020;0;0;
сентябрь 2020;2;0,0000029;
октябрь 2020;0;0;
ноябрь 2020;1;0,0000014;
декабрь 2020;2;0,0000028;
январь 2021;0;0;
февраль 2021;4;0,0000054;
март 2021;4;0,0000053;
апрель 2021;2;0,0000026;
май 2021;0;0;
июнь 2021;2;0,0000030;
июль 2021;2;0,0000029;
август 2021;0;0;
сентябрь 2021;1;0,0000012;
октябрь 2021;1;0,0000012;
ноябрь 2021;5;0,0000060;
декабрь 2021;3;0,0000035;
январь 2022;1;0,0000012;
февраль 2022;22;0,0000247;
март 2022;2;0,0000023;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;8;0,0000108;
июль 2022;2;0,0000027;
август 2022;5;0,0000061;
сентябрь 2022;5;0,0000057;
октябрь 2022;0;0;
ноябрь 2022;21;0,0000238;
декабрь 2022;5;0,0000056;
январь 2023;1;0,0000012;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;2;0,0000024;
ноябрь 2023;1;0,0000012;
декабрь 2023;2;0,0000023;
январь 2024;3;0,0000037;
февраль 2024;4;0,0000050;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;3;0,0000046;
август 2024;0;0;
сентябрь 2024;1;0,0000012;
октябрь 2024;2;0,0000025;
ноябрь 2024;1;0,0000012;
декабрь 2024;0;0;
