Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;43;0,0000904;
январь 2018;76;0,0001643;
февраль 2018;25;0,0000487;
март 2018;21;0,0000468;
апрель 2018;12;0,0000273;
май 2018;4;0,0000094;
июнь 2018;13;0,0000297;
июль 2018;11;0,0000253;
август 2018;17;0,0000347;
сентябрь 2018;19;0,0000339;
октябрь 2018;29;0,0000570;
ноябрь 2018;49;0,0000967;
декабрь 2018;28;0,0000526;
январь 2019;19;0,0000375;
февраль 2019;63;0,0001171;
март 2019;32;0,0000646;
апрель 2019;35;0,0000734;
май 2019;29;0,0000659;
июнь 2019;31;0,0000687;
июль 2019;14;0,0000310;
август 2019;14;0,0000293;
сентябрь 2019;11;0,0000203;
октябрь 2019;65;0,0001192;
ноябрь 2019;25;0,0000439;
декабрь 2019;23;0,0000393;
январь 2020;15;0,0000267;
февраль 2020;13;0,0000211;
март 2020;25;0,0000321;
апрель 2020;16;0,0000221;
май 2020;6;0,0000101;
июнь 2020;31;0,0000560;
июль 2020;7;0,0000128;
август 2020;7;0,0000120;
сентябрь 2020;12;0,0000179;
октябрь 2020;7;0,0000102;
ноябрь 2020;7;0,0000105;
декабрь 2020;12;0,0000182;
январь 2021;8;0,0000127;
февраль 2021;31;0,0000440;
март 2021;11;0,0000153;
апрель 2021;15;0,0000207;
май 2021;16;0,0000230;
июнь 2021;12;0,0000182;
июль 2021;10;0,0000146;
август 2021;14;0,0000192;
сентябрь 2021;44;0,0000561;
октябрь 2021;11;0,0000138;
ноябрь 2021;17;0,0000210;
декабрь 2021;13;0,0000159;
январь 2022;75;0,0000957;
февраль 2022;32;0,0000359;
март 2022;26;0,0000301;
апрель 2022;39;0,0000472;
май 2022;25;0,0000329;
июнь 2022;19;0,0000250;
июль 2022;17;0,0000223;
август 2022;10;0,0000121;
сентябрь 2022;6;0,0000068;
октябрь 2022;10;0,0000114;
ноябрь 2022;15;0,0000172;
декабрь 2022;12;0,0000137;
январь 2023;6;0,0000074;
февраль 2023;15;0,0000171;
март 2023;7;0,0000087;
апрель 2023;8;0,0000100;
май 2023;7;0,0000093;
июнь 2023;3;0,0000040;
июль 2023;9;0,0000121;
август 2023;8;0,0000105;
сентябрь 2023;3;0,0000035;
октябрь 2023;4;0,0000049;
ноябрь 2023;6;0,0000074;
декабрь 2023;2;0,0000023;
январь 2024;1;0,0000012;
февраль 2024;4;0,0000050;
март 2024;3;0,0000039;
апрель 2024;20;0,0000270;
май 2024;11;0,0000162;
июнь 2024;1;0,0000014;
июль 2024;0;0;
август 2024;3;0,0000043;
сентябрь 2024;11;0,0000142;
октябрь 2024;78;0,0000942;
ноябрь 2024;133;0,0001548;
декабрь 2024;152;0,0001725;
