Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Татарстан, все устройства
декабрь 2017;2;0,00000130;
январь 2018;1;0,00000067;
февраль 2018;30;0,00001863;
март 2018;40;0,00002659;
апрель 2018;6;0,00000421;
май 2018;6;0,00000464;
июнь 2018;13;0,00001050;
июль 2018;4;0,00000319;
август 2018;7;0,00000448;
сентябрь 2018;20;0,00001113;
октябрь 2018;40;0,00002429;
ноябрь 2018;15;0,00000930;
декабрь 2018;39;0,00002350;
январь 2019;13;0,00000832;
февраль 2019;11;0,00000652;
март 2019;3;0,00000184;
апрель 2019;14;0,00000931;
май 2019;13;0,00000950;
июнь 2019;10;0,00000738;
июль 2019;27;0,00001911;
август 2019;24;0,00001524;
сентябрь 2019;10;0,00000545;
октябрь 2019;28;0,00001525;
ноябрь 2019;31;0,00001630;
декабрь 2019;22;0,00001119;
январь 2020;9;0,00000499;
февраль 2020;4;0,00000207;
март 2020;7;0,00000266;
апрель 2020;15;0,00000701;
май 2020;9;0,00000509;
июнь 2020;52;0,00003172;
июль 2020;6;0,00000328;
август 2020;14;0,00000650;
сентябрь 2020;14;0,00000555;
октябрь 2020;11;0,00000446;
ноябрь 2020;29;0,00001217;
декабрь 2020;11;0,00000466;
январь 2021;9;0,00000405;
февраль 2021;25;0,00001080;
март 2021;2;0,00000087;
апрель 2021;4;0,00000195;
май 2021;7;0,00000347;
июнь 2021;14;0,00000705;
июль 2021;15;0,00000724;
август 2021;12;0,00000534;
сентябрь 2021;7;0,00000285;
октябрь 2021;2;0,00000080;
ноябрь 2021;12;0,00000470;
декабрь 2021;9;0,00000360;
январь 2022;9;0,00000368;
февраль 2022;10;0,00000366;
март 2022;11;0,00000417;
апрель 2022;3;0,00000118;
май 2022;8;0,00000367;
июнь 2022;5;0,00000240;
июль 2022;18;0,00000842;
август 2022;5;0,00000202;
сентябрь 2022;5;0,00000187;
октябрь 2022;6;0,00000223;
ноябрь 2022;8;0,00000296;
декабрь 2022;14;0,00000521;
январь 2023;6;0,00000242;
февраль 2023;12;0,00000441;
март 2023;7;0,00000281;
апрель 2023;6;0,00000243;
май 2023;9;0,00000417;
июнь 2023;7;0,00000331;
июль 2023;5;0,00000235;
август 2023;13;0,00000542;
сентябрь 2023;21;0,00000784;
октябрь 2023;2;0,00000076;
ноябрь 2023;9;0,00000335;
декабрь 2023;2;0,00000076;
январь 2024;16;0,00000653;
февраль 2024;9;0,00000352;
март 2024;3;0,00000126;
апрель 2024;1;0,00000042;
май 2024;16;0,00000819;
июнь 2024;3;0,00000153;
июль 2024;11;0,00000562;
август 2024;2;0,00000092;
сентябрь 2024;4;0,00000161;
октябрь 2024;2;0,00000077;
ноябрь 2024;12;0,00000447;
декабрь 2024;8;0,00000297;
