Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;5;0,0000273;
январь 2018;3;0,0000170;
февраль 2018;4;0,0000211;
март 2018;3;0,0000185;
апрель 2018;8;0,0000476;
май 2018;14;0,0000881;
июнь 2018;6;0,0000372;
июль 2018;14;0,0000868;
август 2018;7;0,0000407;
сентябрь 2018;3;0,0000155;
октябрь 2018;13;0,0000711;
ноябрь 2018;3;0,0000158;
декабрь 2018;7;0,0000349;
январь 2019;6;0,0000318;
февраль 2019;14;0,0000700;
март 2019;14;0,0000742;
апрель 2019;10;0,0000551;
май 2019;22;0,0001333;
июнь 2019;20;0,0001211;
июль 2019;22;0,0001369;
август 2019;19;0,0001130;
сентябрь 2019;11;0,0000589;
октябрь 2019;18;0,0000919;
ноябрь 2019;20;0,0000952;
декабрь 2019;13;0,0000587;
январь 2020;3;0,0000142;
февраль 2020;2;0,0000091;
март 2020;3;0,0000109;
апрель 2020;7;0,0000278;
май 2020;14;0,0000672;
июнь 2020;4;0,0000207;
июль 2020;23;0,0001206;
август 2020;4;0,0000200;
сентябрь 2020;11;0,0000471;
октябрь 2020;7;0,0000280;
ноябрь 2020;1;0,0000041;
декабрь 2020;6;0,0000254;
январь 2021;19;0,0000856;
февраль 2021;9;0,0000377;
март 2021;24;0,0001005;
апрель 2021;14;0,0000573;
май 2021;3;0,0000126;
июнь 2021;24;0,0001084;
июль 2021;18;0,0000826;
август 2021;25;0,0001039;
сентябрь 2021;15;0,0000546;
октябрь 2021;13;0,0000460;
ноябрь 2021;22;0,0000764;
декабрь 2021;17;0,0000563;
январь 2022;19;0,0000663;
февраль 2022;35;0,0001117;
март 2022;22;0,0000764;
апрель 2022;39;0,0001315;
май 2022;39;0,0001461;
июнь 2022;34;0,0001295;
июль 2022;42;0,0001597;
август 2022;64;0,0002305;
сентябрь 2022;38;0,0001218;
октябрь 2022;75;0,0002336;
ноябрь 2022;25;0,0000766;
декабрь 2022;22;0,0000676;
январь 2023;27;0,0000900;
февраль 2023;25;0,0000789;
март 2023;16;0,0000536;
апрель 2023;28;0,0000937;
май 2023;19;0,0000719;
июнь 2023;9;0,0000346;
июль 2023;12;0,0000466;
август 2023;21;0,0000768;
сентябрь 2023;15;0,0000494;
октябрь 2023;19;0,0000604;
ноябрь 2023;17;0,0000527;
декабрь 2023;20;0,0000614;
январь 2024;21;0,0000711;
февраль 2024;5;0,0000165;
март 2024;14;0,0000512;
апрель 2024;15;0,0000537;
май 2024;13;0,0000528;
июнь 2024;14;0,0000564;
июль 2024;10;0,0000405;
август 2024;10;0,0000399;
сентябрь 2024;2;0,0000071;
октябрь 2024;17;0,0000590;
ноябрь 2024;11;0,0000356;
декабрь 2024;14;0,0000460;
