Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;71;0,000135;
январь 2018;52;0,000100;
февраль 2018;81;0,000142;
март 2018;64;0,000126;
апрель 2018;69;0,000142;
май 2018;91;0,000194;
июнь 2018;135;0,000282;
июль 2018;75;0,000155;
август 2018;58;0,000107;
сентябрь 2018;60;0,000097;
октябрь 2018;64;0,000114;
ноябрь 2018;43;0,000078;
декабрь 2018;52;0,000089;
январь 2019;56;0,000102;
февраль 2019;63;0,000108;
март 2019;54;0,000101;
апрель 2019;81;0,000158;
май 2019;90;0,000188;
июнь 2019;98;0,000197;
июль 2019;73;0,000150;
август 2019;99;0,000196;
сентябрь 2019;61;0,000105;
октябрь 2019;46;0,000078;
ноябрь 2019;57;0,000093;
декабрь 2019;110;0,000175;
январь 2020;68;0,000113;
февраль 2020;50;0,000076;
март 2020;21;0,000024;
апрель 2020;43;0,000055;
май 2020;52;0,000084;
июнь 2020;42;0,000070;
июль 2020;78;0,000134;
август 2020;201;0,000325;
сентябрь 2020;77;0,000109;
октябрь 2020;63;0,000084;
ноябрь 2020;56;0,000077;
декабрь 2020;69;0,000097;
январь 2021;84;0,000121;
февраль 2021;129;0,000169;
март 2021;127;0,000163;
апрель 2021;142;0,000181;
май 2021;200;0,000267;
июнь 2021;99;0,000139;
июль 2021;112;0,000151;
август 2021;102;0,000129;
сентябрь 2021;114;0,000134;
октябрь 2021;112;0,000128;
ноябрь 2021;94;0,000107;
декабрь 2021;82;0,000091;
январь 2022;98;0,000111;
февраль 2022;222;0,000230;
март 2022;153;0,000165;
апрель 2022;236;0,000262;
май 2022;201;0,000247;
июнь 2022;235;0,000284;
июль 2022;189;0,000228;
август 2022;303;0,000341;
сентябрь 2022;195;0,000205;
октябрь 2022;136;0,000143;
ноябрь 2022;79;0,000084;
декабрь 2022;108;0,000113;
январь 2023;115;0,000131;
февраль 2023;127;0,000132;
март 2023;101;0,000114;
апрель 2023;144;0,000164;
май 2023;197;0,000243;
июнь 2023;155;0,000187;
июль 2023;140;0,000171;
август 2023;111;0,000134;
сентябрь 2023;120;0,000130;
октябрь 2023;86;0,000095;
ноябрь 2023;97;0,000108;
декабрь 2023;93;0,000100;
январь 2024;76;0,000087;
февраль 2024;71;0,000080;
март 2024;95;0,000113;
апрель 2024;93;0,000114;
май 2024;128;0,000174;
июнь 2024;149;0,000196;
июль 2024;79;0,000105;
август 2024;75;0,000097;
сентябрь 2024;78;0,000091;
октябрь 2024;70;0,000080;
ноябрь 2024;81;0,000090;
декабрь 2024;84;0,000092;
