Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;427;0,000341;
январь 2018;334;0,000277;
февраль 2018;454;0,000356;
март 2018;524;0,000443;
апрель 2018;613;0,000493;
май 2018;729;0,000720;
июнь 2018;638;0,000614;
июль 2018;510;0,000476;
август 2018;329;0,000265;
сентябрь 2018;421;0,000295;
октябрь 2018;376;0,000284;
ноябрь 2018;328;0,000246;
декабрь 2018;336;0,000255;
январь 2019;291;0,000221;
февраль 2019;476;0,000359;
март 2019;494;0,000377;
апрель 2019;474;0,000385;
май 2019;548;0,000512;
июнь 2019;748;0,000718;
июль 2019;493;0,000457;
август 2019;476;0,000398;
сентябрь 2019;439;0,000316;
октябрь 2019;413;0,000294;
ноябрь 2019;321;0,000219;
декабрь 2019;398;0,000267;
январь 2020;413;0,000288;
февраль 2020;360;0,000228;
март 2020;68;0,000035;
апрель 2020;192;0,000108;
май 2020;270;0,000185;
июнь 2020;218;0,000165;
июль 2020;321;0,000245;
август 2020;763;0,000500;
сентябрь 2020;456;0,000243;
октябрь 2020;518;0,000250;
ноябрь 2020;508;0,000266;
декабрь 2020;634;0,000371;
январь 2021;651;0,000406;
февраль 2021;766;0,000433;
март 2021;766;0,000434;
апрель 2021;911;0,000531;
май 2021;992;0,000628;
июнь 2021;1 037;0,000706;
июль 2021;791;0,000526;
август 2021;638;0,000379;
сентябрь 2021;618;0,000327;
октябрь 2021;533;0,000276;
ноябрь 2021;569;0,000282;
декабрь 2021;587;0,000294;
январь 2022;688;0,000350;
февраль 2022;1 428;0,000666;
март 2022;1 244;0,000610;
апрель 2022;1 626;0,000862;
май 2022;1 990;0,001161;
июнь 2022;1 989;0,001216;
июль 2022;1 555;0,000878;
август 2022;2 038;0,001093;
сентябрь 2022;1 114;0,000545;
октябрь 2022;788;0,000371;
ноябрь 2022;710;0,000331;
декабрь 2022;766;0,000368;
январь 2023;774;0,000400;
февраль 2023;1 013;0,000470;
март 2023;1 186;0,000554;
апрель 2023;1 305;0,000644;
май 2023;1 519;0,000879;
июнь 2023;1 365;0,000838;
июль 2023;990;0,000582;
август 2023;777;0,000415;
сентябрь 2023;821;0,000392;
октябрь 2023;791;0,000381;
ноябрь 2023;589;0,000275;
декабрь 2023;883;0,000431;
январь 2024;826;0,000424;
февраль 2024;1 008;0,000490;
март 2024;868;0,000439;
апрель 2024;934;0,000510;
май 2024;1 163;0,000769;
июнь 2024;1 103;0,000754;
июль 2024;1 028;0,000696;
август 2024;685;0,000417;
сентябрь 2024;804;0,000425;
октябрь 2024;620;0,000321;
ноябрь 2024;638;0,000318;
декабрь 2024;835;0,000430;
