Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;23;0,000117;
январь 2018;12;0,000061;
февраль 2018;12;0,000058;
март 2018;32;0,000171;
апрель 2018;17;0,000091;
май 2018;24;0,000136;
июнь 2018;48;0,000270;
июль 2018;36;0,000206;
август 2018;48;0,000244;
сентябрь 2018;35;0,000150;
октябрь 2018;38;0,000170;
ноябрь 2018;15;0,000068;
декабрь 2018;50;0,000227;
январь 2019;27;0,000125;
февраль 2019;26;0,000115;
март 2019;32;0,000149;
апрель 2019;33;0,000171;
май 2019;65;0,000387;
июнь 2019;99;0,000565;
июль 2019;45;0,000261;
август 2019;43;0,000220;
сентябрь 2019;70;0,000298;
октябрь 2019;34;0,000142;
ноябрь 2019;47;0,000180;
декабрь 2019;49;0,000181;
январь 2020;25;0,000095;
февраль 2020;39;0,000134;
март 2020;18;0,000050;
апрель 2020;52;0,000153;
май 2020;86;0,000322;
июнь 2020;56;0,000233;
июль 2020;66;0,000273;
август 2020;211;0,000739;
сентябрь 2020;132;0,000387;
октябрь 2020;76;0,000208;
ноябрь 2020;91;0,000262;
декабрь 2020;98;0,000290;
январь 2021;76;0,000240;
февраль 2021;124;0,000374;
март 2021;90;0,000269;
апрель 2021;145;0,000448;
май 2021;155;0,000522;
июнь 2021;135;0,000463;
июль 2021;117;0,000410;
август 2021;132;0,000418;
сентябрь 2021;147;0,000425;
октябрь 2021;142;0,000397;
ноябрь 2021;185;0,000498;
декабрь 2021;160;0,000443;
январь 2022;71;0,000201;
февраль 2022;183;0,000470;
март 2022;171;0,000456;
апрель 2022;137;0,000376;
май 2022;112;0,000347;
июнь 2022;209;0,000672;
июль 2022;132;0,000425;
август 2022;292;0,000823;
сентябрь 2022;171;0,000442;
октябрь 2022;70;0,000169;
ноябрь 2022;94;0,000233;
декабрь 2022;53;0,000129;
январь 2023;63;0,000168;
февраль 2023;88;0,000216;
март 2023;67;0,000173;
апрель 2023;56;0,000150;
май 2023;54;0,000166;
июнь 2023;82;0,000261;
июль 2023;195;0,000621;
август 2023;110;0,000324;
сентябрь 2023;135;0,000359;
октябрь 2023;144;0,000382;
ноябрь 2023;118;0,000307;
декабрь 2023;64;0,000168;
январь 2024;81;0,000226;
февраль 2024;57;0,000154;
март 2024;51;0,000146;
апрель 2024;58;0,000176;
май 2024;67;0,000234;
июнь 2024;122;0,000430;
июль 2024;174;0,000629;
август 2024;130;0,000429;
сентябрь 2024;119;0,000337;
октябрь 2024;93;0,000257;
ноябрь 2024;115;0,000300;
декабрь 2024;112;0,000301;
