Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;20;0,0000281;
январь 2018;17;0,0000246;
февраль 2018;33;0,0000445;
март 2018;21;0,0000317;
апрель 2018;32;0,0000500;
май 2018;47;0,0000798;
июнь 2018;37;0,0000650;
июль 2018;55;0,0000936;
август 2018;21;0,0000305;
сентябрь 2018;23;0,0000292;
октябрь 2018;10;0,0000137;
ноябрь 2018;13;0,0000179;
декабрь 2018;27;0,0000363;
январь 2019;23;0,0000319;
февраль 2019;32;0,0000419;
март 2019;40;0,0000567;
апрель 2019;43;0,0000652;
май 2019;42;0,0000705;
июнь 2019;45;0,0000764;
июль 2019;39;0,0000648;
август 2019;20;0,0000304;
сентябрь 2019;17;0,0000226;
октябрь 2019;21;0,0000272;
ноябрь 2019;21;0,0000256;
декабрь 2019;14;0,0000166;
январь 2020;38;0,0000454;
февраль 2020;55;0,0000622;
март 2020;18;0,0000151;
апрель 2020;7;0,0000066;
май 2020;45;0,0000543;
июнь 2020;34;0,0000446;
июль 2020;34;0,0000440;
август 2020;153;0,0001692;
сентябрь 2020;94;0,0000894;
октябрь 2020;56;0,0000456;
ноябрь 2020;106;0,0000985;
декабрь 2020;64;0,0000644;
январь 2021;76;0,0000781;
февраль 2021;112;0,0001089;
март 2021;224;0,0002177;
апрель 2021;137;0,0001407;
май 2021;125;0,0001334;
июнь 2021;159;0,0001835;
июль 2021;166;0,0001902;
август 2021;248;0,0002386;
сентябрь 2021;242;0,0001981;
октябрь 2021;194;0,0001644;
ноябрь 2021;132;0,0001075;
декабрь 2021;235;0,0001963;
январь 2022;157;0,0001298;
февраль 2022;287;0,0002219;
март 2022;179;0,0001502;
апрель 2022;245;0,0002037;
май 2022;193;0,0001836;
июнь 2022;293;0,0002942;
июль 2022;201;0,0002022;
август 2022;260;0,0002268;
сентябрь 2022;126;0,0001010;
октябрь 2022;85;0,0000670;
ноябрь 2022;81;0,0000622;
декабрь 2022;93;0,0000725;
январь 2023;99;0,0000829;
февраль 2023;140;0,0001091;
март 2023;122;0,0001036;
апрель 2023;197;0,0001699;
май 2023;198;0,0001947;
июнь 2023;153;0,0001533;
июль 2023;121;0,0001224;
август 2023;93;0,0000834;
сентябрь 2023;94;0,0000752;
октябрь 2023;92;0,0000740;
ноябрь 2023;107;0,0000845;
декабрь 2023;125;0,0000990;
январь 2024;118;0,0001004;
февраль 2024;107;0,0000900;
март 2024;78;0,0000715;
апрель 2024;106;0,0000984;
май 2024;115;0,0001256;
июнь 2024;156;0,0001721;
июль 2024;79;0,0000873;
август 2024;52;0,0000532;
сентябрь 2024;93;0,0000832;
октябрь 2024;55;0,0000472;
ноябрь 2024;48;0,0000398;
декабрь 2024;82;0,0000685;
