Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;167;0,000150;
январь 2018;131;0,000120;
февраль 2018;190;0,000159;
март 2018;185;0,000178;
апрель 2018;220;0,000214;
май 2018;286;0,000298;
июнь 2018;291;0,000301;
июль 2018;292;0,000300;
август 2018;236;0,000211;
сентябрь 2018;197;0,000152;
октябрь 2018;194;0,000163;
ноябрь 2018;154;0,000130;
декабрь 2018;253;0,000210;
январь 2019;240;0,000202;
февраль 2019;232;0,000190;
март 2019;159;0,000144;
апрель 2019;233;0,000219;
май 2019;204;0,000211;
июнь 2019;218;0,000218;
июль 2019;197;0,000199;
август 2019;188;0,000171;
сентябрь 2019;202;0,000156;
октябрь 2019;138;0,000105;
ноябрь 2019;177;0,000131;
декабрь 2019;193;0,000142;
январь 2020;213;0,000161;
февраль 2020;190;0,000136;
март 2020;75;0,000044;
апрель 2020;119;0,000079;
май 2020;170;0,000133;
июнь 2020;117;0,000098;
июль 2020;194;0,000167;
август 2020;389;0,000290;
сентябрь 2020;208;0,000134;
октябрь 2020;150;0,000086;
ноябрь 2020;194;0,000122;
декабрь 2020;190;0,000124;
январь 2021;300;0,000203;
февраль 2021;388;0,000239;
март 2021;388;0,000248;
апрель 2021;490;0,000315;
май 2021;387;0,000256;
июнь 2021;425;0,000300;
июль 2021;462;0,000324;
август 2021;341;0,000214;
сентябрь 2021;381;0,000212;
октябрь 2021;340;0,000186;
ноябрь 2021;311;0,000169;
декабрь 2021;393;0,000216;
январь 2022;356;0,000193;
февраль 2022;709;0,000358;
март 2022;523;0,000290;
апрель 2022;592;0,000328;
май 2022;572;0,000356;
июнь 2022;508;0,000319;
июль 2022;475;0,000296;
август 2022;819;0,000455;
сентябрь 2022;427;0,000219;
октябрь 2022;278;0,000143;
ноябрь 2022;292;0,000150;
декабрь 2022;376;0,000196;
январь 2023;218;0,000122;
февраль 2023;366;0,000188;
март 2023;295;0,000163;
апрель 2023;352;0,000200;
май 2023;343;0,000213;
июнь 2023;376;0,000238;
июль 2023;290;0,000189;
август 2023;219;0,000132;
сентябрь 2023;176;0,000094;
октябрь 2023;216;0,000117;
ноябрь 2023;183;0,000099;
декабрь 2023;193;0,000104;
январь 2024;187;0,000107;
февраль 2024;215;0,000121;
март 2024;192;0,000116;
апрель 2024;273;0,000166;
май 2024;270;0,000187;
июнь 2024;341;0,000240;
июль 2024;212;0,000148;
август 2024;151;0,000097;
сентябрь 2024;187;0,000107;
октябрь 2024;164;0,000090;
ноябрь 2024;130;0,000069;
декабрь 2024;166;0,000090;
