Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;1 806;0,00041;
январь 2018;1 687;0,00039;
февраль 2018;1 862;0,00038;
март 2018;1 970;0,00046;
апрель 2018;2 240;0,00053;
май 2018;3 050;0,00076;
июнь 2018;3 733;0,00091;
июль 2018;3 271;0,00079;
август 2018;2 708;0,00057;
сентябрь 2018;2 575;0,00047;
октябрь 2018;2 190;0,00043;
ноябрь 2018;2 169;0,00043;
декабрь 2018;2 457;0,00046;
январь 2019;1 955;0,00038;
февраль 2019;2 555;0,00046;
март 2019;2 644;0,00052;
апрель 2019;2 674;0,00055;
май 2019;2 902;0,00063;
июнь 2019;3 271;0,00071;
июль 2019;2 670;0,00058;
август 2019;2 453;0,00050;
сентябрь 2019;2 261;0,00041;
октябрь 2019;2 277;0,00041;
ноябрь 2019;2 764;0,00049;
декабрь 2019;2 336;0,00040;
январь 2020;2 002;0,00036;
февраль 2020;2 294;0,00036;
март 2020;897;0,00011;
апрель 2020;1 327;0,00017;
май 2020;2 216;0,00037;
июнь 2020;1 262;0,00023;
июль 2020;2 557;0,00047;
август 2020;5 138;0,00087;
сентябрь 2020;3 133;0,00046;
октябрь 2020;2 469;0,00035;
ноябрь 2020;2 264;0,00033;
декабрь 2020;2 434;0,00037;
январь 2021;2 650;0,00044;
февраль 2021;2 993;0,00045;
март 2021;3 440;0,00048;
апрель 2021;4 439;0,00056;
май 2021;4 413;0,00059;
июнь 2021;3 608;0,00057;
июль 2021;3 487;0,00053;
август 2021;3 312;0,00042;
сентябрь 2021;3 519;0,00042;
октябрь 2021;3 317;0,00037;
ноябрь 2021;3 505;0,00039;
декабрь 2021;3 073;0,00033;
январь 2022;3 427;0,00039;
февраль 2022;9 262;0,00094;
март 2022;6 035;0,00066;
апрель 2022;6 832;0,00075;
май 2022;6 413;0,00078;
июнь 2022;6 911;0,00084;
июль 2022;6 100;0,00073;
август 2022;13 615;0,00149;
сентябрь 2022;6 524;0,00069;
октябрь 2022;3 924;0,00042;
ноябрь 2022;3 570;0,00038;
декабрь 2022;3 337;0,00036;
январь 2023;2 887;0,00034;
февраль 2023;3 754;0,00040;
март 2023;3 724;0,00044;
апрель 2023;4 758;0,00056;
май 2023;5 165;0,00066;
июнь 2023;4 384;0,00056;
июль 2023;3 803;0,00049;
август 2023;2 908;0,00036;
сентябрь 2023;3 254;0,00037;
октябрь 2023;3 174;0,00038;
ноябрь 2023;2 985;0,00035;
декабрь 2023;3 046;0,00034;
январь 2024;2 863;0,00035;
февраль 2024;3 118;0,00036;
март 2024;3 528;0,00044;
апрель 2024;3 590;0,00045;
май 2024;3 920;0,00054;
июнь 2024;3 991;0,00055;
июль 2024;3 081;0,00042;
август 2024;2 387;0,00031;
сентябрь 2024;2 488;0,00030;
октябрь 2024;2 381;0,00028;
ноябрь 2024;2 294;0,00026;
декабрь 2024;2 198;0,00024;
