Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;37;0,000078;
январь 2018;47;0,000099;
февраль 2018;27;0,000052;
март 2018;40;0,000089;
апрель 2018;55;0,000124;
май 2018;65;0,000158;
июнь 2018;53;0,000125;
июль 2018;32;0,000079;
август 2018;35;0,000072;
сентябрь 2018;22;0,000039;
октябрь 2018;20;0,000039;
ноябрь 2018;37;0,000073;
декабрь 2018;48;0,000092;
январь 2019;40;0,000079;
февраль 2019;37;0,000069;
март 2019;31;0,000064;
апрель 2019;12;0,000025;
май 2019;42;0,000099;
июнь 2019;42;0,000098;
июль 2019;27;0,000064;
август 2019;24;0,000052;
сентябрь 2019;25;0,000048;
октябрь 2019;31;0,000058;
ноябрь 2019;33;0,000058;
декабрь 2019;45;0,000078;
январь 2020;46;0,000083;
февраль 2020;33;0,000056;
март 2020;8;0,000010;
апрель 2020;11;0,000015;
май 2020;27;0,000049;
июнь 2020;22;0,000042;
июль 2020;28;0,000055;
август 2020;52;0,000091;
сентябрь 2020;31;0,000046;
октябрь 2020;30;0,000038;
ноябрь 2020;23;0,000030;
декабрь 2020;47;0,000070;
январь 2021;64;0,000097;
февраль 2021;71;0,000098;
март 2021;71;0,000097;
апрель 2021;79;0,000110;
май 2021;61;0,000091;
июнь 2021;50;0,000081;
июль 2021;99;0,000156;
август 2021;39;0,000054;
сентябрь 2021;49;0,000063;
октябрь 2021;43;0,000049;
ноябрь 2021;86;0,000103;
декабрь 2021;41;0,000049;
январь 2022;37;0,000043;
февраль 2022;62;0,000069;
март 2022;55;0,000065;
апрель 2022;73;0,000089;
май 2022;123;0,000172;
июнь 2022;77;0,000109;
июль 2022;50;0,000071;
август 2022;142;0,000176;
сентябрь 2022;60;0,000068;
октябрь 2022;39;0,000044;
ноябрь 2022;40;0,000045;
декабрь 2022;36;0,000041;
январь 2023;37;0,000045;
февраль 2023;62;0,000070;
март 2023;59;0,000072;
апрель 2023;60;0,000076;
май 2023;74;0,000102;
июнь 2023;54;0,000077;
июль 2023;46;0,000067;
август 2023;41;0,000055;
сентябрь 2023;48;0,000057;
октябрь 2023;68;0,000081;
ноябрь 2023;47;0,000056;
декабрь 2023;66;0,000078;
январь 2024;80;0,000100;
февраль 2024;67;0,000083;
март 2024;37;0,000049;
апрель 2024;52;0,000071;
май 2024;32;0,000049;
июнь 2024;50;0,000079;
июль 2024;38;0,000063;
август 2024;22;0,000029;
сентябрь 2024;26;0,000032;
октябрь 2024;28;0,000033;
ноябрь 2024;27;0,000031;
декабрь 2024;41;0,000048;
