Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;8 038;0,00064;
январь 2018;6 607;0,00050;
февраль 2018;7 784;0,00054;
март 2018;7 869;0,00061;
апрель 2018;9 548;0,00075;
май 2018;11 645;0,00100;
июнь 2018;14 503;0,00121;
июль 2018;12 994;0,00109;
август 2018;10 932;0,00079;
сентябрь 2018;9 754;0,00061;
октябрь 2018;7 636;0,00051;
ноябрь 2018;8 974;0,00060;
декабрь 2018;9 738;0,00064;
январь 2019;7 100;0,00050;
февраль 2019;8 715;0,00061;
март 2019;8 314;0,00061;
апрель 2019;9 697;0,00075;
май 2019;11 059;0,00092;
июнь 2019;12 494;0,00099;
июль 2019;10 620;0,00090;
август 2019;9 782;0,00073;
сентябрь 2019;9 033;0,00060;
октябрь 2019;8 125;0,00056;
ноябрь 2019;10 679;0,00072;
декабрь 2019;9 150;0,00060;
январь 2020;7 446;0,00050;
февраль 2020;9 718;0,00062;
март 2020;4 028;0,00023;
апрель 2020;4 622;0,00029;
май 2020;7 282;0,00052;
июнь 2020;4 469;0,00032;
июль 2020;9 770;0,00072;
август 2020;19 036;0,00122;
сентябрь 2020;11 751;0,00068;
октябрь 2020;9 353;0,00050;
ноябрь 2020;8 270;0,00046;
декабрь 2020;9 398;0,00058;
январь 2021;10 178;0,00064;
февраль 2021;10 991;0,00063;
март 2021;11 925;0,00070;
апрель 2021;13 123;0,00086;
май 2021;12 916;0,00086;
июнь 2021;14 015;0,00086;
июль 2021;14 204;0,00083;
август 2021;10 703;0,00062;
сентябрь 2021;10 415;0,00060;
октябрь 2021;9 316;0,00056;
ноябрь 2021;9 749;0,00057;
декабрь 2021;9 570;0,00055;
январь 2022;9 254;0,00053;
февраль 2022;24 883;0,00137;
март 2022;15 918;0,00094;
апрель 2022;18 856;0,00106;
май 2022;16 795;0,00109;
июнь 2022;18 581;0,00130;
июль 2022;18 420;0,00118;
август 2022;38 089;0,00221;
сентябрь 2022;17 670;0,00105;
октябрь 2022;11 661;0,00069;
ноябрь 2022;9 861;0,00060;
декабрь 2022;8 066;0,00052;
январь 2023;7 139;0,00049;
февраль 2023;9 378;0,00058;
март 2023;9 328;0,00064;
апрель 2023;13 037;0,00091;
май 2023;13 479;0,00104;
июнь 2023;10 600;0,00086;
июль 2023;9 719;0,00079;
август 2023;7 763;0,00056;
сентябрь 2023;7 760;0,00049;
октябрь 2023;6 991;0,00046;
ноябрь 2023;7 243;0,00047;
декабрь 2023;6 793;0,00042;
январь 2024;7 018;0,00049;
февраль 2024;7 012;0,00046;
март 2024;7 292;0,00052;
апрель 2024;9 044;0,00065;
май 2024;8 516;0,00072;
июнь 2024;9 199;0,00082;
июль 2024;7 945;0,00070;
август 2024;5 902;0,00047;
сентябрь 2024;6 011;0,00042;
октябрь 2024;5 427;0,00035;
ноябрь 2024;5 804;0,00038;
декабрь 2024;5 197;0,00035;
