Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;145;0,000214;
январь 2018;168;0,000249;
февраль 2018;232;0,000317;
март 2018;205;0,000328;
апрель 2018;261;0,000413;
май 2018;263;0,000449;
июнь 2018;211;0,000347;
июль 2018;197;0,000334;
август 2018;151;0,000224;
сентябрь 2018;133;0,000171;
октябрь 2018;103;0,000144;
ноябрь 2018;150;0,000209;
декабрь 2018;156;0,000214;
январь 2019;159;0,000228;
февраль 2019;169;0,000231;
март 2019;135;0,000202;
апрель 2019;199;0,000307;
май 2019;201;0,000344;
июнь 2019;227;0,000377;
июль 2019;149;0,000252;
август 2019;115;0,000182;
сентябрь 2019;110;0,000153;
октябрь 2019;125;0,000170;
ноябрь 2019;106;0,000137;
декабрь 2019;200;0,000254;
январь 2020;154;0,000205;
февраль 2020;109;0,000136;
март 2020;43;0,000040;
апрель 2020;83;0,000080;
май 2020;127;0,000169;
июнь 2020;90;0,000129;
июль 2020;136;0,000198;
август 2020;192;0,000253;
сентябрь 2020;116;0,000133;
октябрь 2020;103;0,000111;
ноябрь 2020;121;0,000133;
декабрь 2020;128;0,000146;
январь 2021;267;0,000304;
февраль 2021;333;0,000338;
март 2021;250;0,000253;
апрель 2021;354;0,000362;
май 2021;585;0,000627;
июнь 2021;450;0,000519;
июль 2021;378;0,000428;
август 2021;200;0,000206;
сентябрь 2021;250;0,000239;
октябрь 2021;200;0,000179;
ноябрь 2021;227;0,000200;
декабрь 2021;247;0,000221;
январь 2022;220;0,000202;
февраль 2022;318;0,000264;
март 2022;346;0,000309;
апрель 2022;342;0,000305;
май 2022;320;0,000323;
июнь 2022;355;0,000368;
июль 2022;315;0,000326;
август 2022;492;0,000455;
сентябрь 2022;318;0,000268;
октябрь 2022;135;0,000103;
ноябрь 2022;195;0,000147;
декабрь 2022;204;0,000162;
январь 2023;122;0,000103;
февраль 2023;233;0,000181;
март 2023;187;0,000154;
апрель 2023;272;0,000232;
май 2023;318;0,000330;
июнь 2023;343;0,000361;
июль 2023;211;0,000225;
август 2023;154;0,000151;
сентябрь 2023;150;0,000130;
октябрь 2023;180;0,000158;
ноябрь 2023;111;0,000095;
декабрь 2023;177;0,000152;
январь 2024;226;0,000197;
февраль 2024;154;0,000143;
март 2024;124;0,000119;
апрель 2024;150;0,000147;
май 2024;138;0,000161;
июнь 2024;144;0,000173;
июль 2024;112;0,000134;
август 2024;78;0,000084;
сентябрь 2024;110;0,000104;
октябрь 2024;103;0,000093;
ноябрь 2024;98;0,000084;
декабрь 2024;146;0,000130;
