Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;120;0,000252;
январь 2018;107;0,000231;
февраль 2018;107;0,000208;
март 2018;105;0,000234;
апрель 2018;98;0,000223;
май 2018;158;0,000372;
июнь 2018;186;0,000426;
июль 2018;86;0,000198;
август 2018;93;0,000190;
сентябрь 2018;90;0,000160;
октябрь 2018;75;0,000147;
ноябрь 2018;79;0,000155;
декабрь 2018;122;0,000229;
январь 2019;118;0,000233;
февраль 2019;98;0,000182;
март 2019;88;0,000177;
апрель 2019;111;0,000232;
май 2019;123;0,000279;
июнь 2019;161;0,000357;
июль 2019;91;0,000202;
август 2019;95;0,000199;
сентябрь 2019;109;0,000201;
октябрь 2019;97;0,000177;
ноябрь 2019;101;0,000177;
декабрь 2019;107;0,000183;
январь 2020;106;0,000189;
февраль 2020;111;0,000180;
март 2020;26;0,000033;
апрель 2020;71;0,000098;
май 2020;72;0,000121;
июнь 2020;49;0,000088;
июль 2020;101;0,000185;
август 2020;185;0,000317;
сентябрь 2020;131;0,000195;
октябрь 2020;121;0,000177;
ноябрь 2020;69;0,000104;
декабрь 2020;98;0,000149;
январь 2021;117;0,000186;
февраль 2021;202;0,000287;
март 2021;237;0,000331;
апрель 2021;183;0,000252;
май 2021;234;0,000337;
июнь 2021;182;0,000276;
июль 2021;187;0,000274;
август 2021;185;0,000254;
сентябрь 2021;127;0,000162;
октябрь 2021;107;0,000134;
ноябрь 2021;119;0,000147;
декабрь 2021;153;0,000187;
январь 2022;138;0,000176;
февраль 2022;371;0,000416;
март 2022;300;0,000347;
апрель 2022;316;0,000382;
май 2022;354;0,000466;
июнь 2022;288;0,000379;
июль 2022;237;0,000310;
август 2022;467;0,000566;
сентябрь 2022;216;0,000245;
октябрь 2022;156;0,000178;
ноябрь 2022;204;0,000235;
декабрь 2022;168;0,000192;
январь 2023;137;0,000170;
февраль 2023;160;0,000182;
март 2023;170;0,000211;
апрель 2023;200;0,000250;
май 2023;242;0,000324;
июнь 2023;231;0,000308;
июль 2023;182;0,000245;
август 2023;118;0,000155;
сентябрь 2023;190;0,000226;
октябрь 2023;129;0,000158;
ноябрь 2023;132;0,000163;
декабрь 2023;196;0,000235;
январь 2024;139;0,000179;
февраль 2024;135;0,000169;
март 2024;139;0,000184;
апрель 2024;104;0,000140;
май 2024;196;0,000290;
июнь 2024;188;0,000275;
июль 2024;100;0,000147;
август 2024;72;0,000103;
сентябрь 2024;120;0,000155;
октябрь 2024;139;0,000167;
ноябрь 2024;172;0,000200;
декабрь 2024;180;0,000204;
