Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;8;0,0000394;
январь 2018;4;0,0000203;
февраль 2018;3;0,0000140;
март 2018;4;0,0000203;
апрель 2018;8;0,0000421;
май 2018;10;0,0000564;
июнь 2018;3;0,0000175;
июль 2018;8;0,0000466;
август 2018;4;0,0000199;
сентябрь 2018;8;0,0000341;
октябрь 2018;5;0,0000232;
ноябрь 2018;8;0,0000364;
декабрь 2018;12;0,0000545;
январь 2019;8;0,0000384;
февраль 2019;8;0,0000356;
март 2019;9;0,0000428;
апрель 2019;7;0,0000359;
май 2019;10;0,0000563;
июнь 2019;4;0,0000226;
июль 2019;17;0,0000961;
август 2019;6;0,0000315;
сентябрь 2019;3;0,0000131;
октябрь 2019;6;0,0000262;
ноябрь 2019;6;0,0000245;
декабрь 2019;12;0,0000466;
январь 2020;8;0,0000324;
февраль 2020;9;0,0000335;
март 2020;3;0,0000081;
апрель 2020;0;0;
май 2020;6;0,0000234;
июнь 2020;7;0,0000313;
июль 2020;2;0,0000088;
август 2020;9;0,0000346;
сентябрь 2020;18;0,0000588;
октябрь 2020;3;0,0000087;
ноябрь 2020;7;0,0000215;
декабрь 2020;2;0,0000066;
январь 2021;16;0,0000555;
февраль 2021;6;0,0000194;
март 2021;13;0,0000415;
апрель 2021;41;0,0001386;
май 2021;15;0,0000543;
июнь 2021;9;0,0000351;
июль 2021;24;0,0000885;
август 2021;12;0,0000398;
сентябрь 2021;10;0,0000303;
октябрь 2021;11;0,0000321;
ноябрь 2021;11;0,0000311;
декабрь 2021;23;0,0000655;
январь 2022;10;0,0000289;
февраль 2022;10;0,0000263;
март 2022;7;0,0000194;
апрель 2022;34;0,0000961;
май 2022;30;0,0000969;
июнь 2022;45;0,0001507;
июль 2022;16;0,0000541;
август 2022;45;0,0001322;
сентябрь 2022;16;0,0000432;
октябрь 2022;25;0,0000666;
ноябрь 2022;8;0,0000208;
декабрь 2022;22;0,0000580;
январь 2023;22;0,0000632;
февраль 2023;43;0,0001121;
март 2023;26;0,0000744;
апрель 2023;22;0,0000630;
май 2023;47;0,0001524;
июнь 2023;14;0,0000464;
июль 2023;28;0,0000940;
август 2023;20;0,0000616;
сентябрь 2023;35;0,0000956;
октябрь 2023;36;0,0000989;
ноябрь 2023;23;0,0000618;
декабрь 2023;28;0,0000764;
январь 2024;25;0,0000732;
февраль 2024;28;0,0000789;
март 2024;20;0,0000602;
апрель 2024;11;0,0000334;
май 2024;45;0,0001642;
июнь 2024;26;0,0000952;
июль 2024;27;0,0000988;
август 2024;16;0,0000545;
сентябрь 2024;19;0,0000554;
октябрь 2024;15;0,0000421;
ноябрь 2024;24;0,0000641;
декабрь 2024;10;0,0000270;
