Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;38;0,000062;
январь 2018;34;0,000057;
февраль 2018;60;0,000091;
март 2018;59;0,000099;
апрель 2018;36;0,000062;
май 2018;44;0,000080;
июнь 2018;53;0,000096;
июль 2018;73;0,000133;
август 2018;31;0,000048;
сентябрь 2018;55;0,000074;
октябрь 2018;48;0,000071;
ноябрь 2018;27;0,000040;
декабрь 2018;28;0,000040;
январь 2019;41;0,000062;
февраль 2019;53;0,000075;
март 2019;49;0,000074;
апрель 2019;54;0,000084;
май 2019;44;0,000074;
июнь 2019;47;0,000077;
июль 2019;58;0,000094;
август 2019;33;0,000050;
сентябрь 2019;44;0,000060;
октябрь 2019;29;0,000040;
ноябрь 2019;30;0,000040;
декабрь 2019;36;0,000048;
январь 2020;32;0,000044;
февраль 2020;60;0,000077;
март 2020;18;0,000018;
апрель 2020;26;0,000029;
май 2020;20;0,000028;
июнь 2020;20;0,000028;
июль 2020;28;0,000041;
август 2020;58;0,000079;
сентябрь 2020;49;0,000058;
октябрь 2020;38;0,000044;
ноябрь 2020;36;0,000043;
декабрь 2020;60;0,000073;
январь 2021;40;0,000050;
февраль 2021;81;0,000091;
март 2021;86;0,000095;
апрель 2021;79;0,000087;
май 2021;92;0,000109;
июнь 2021;64;0,000081;
июль 2021;100;0,000121;
август 2021;78;0,000086;
сентябрь 2021;66;0,000067;
октябрь 2021;45;0,000044;
ноябрь 2021;39;0,000038;
декабрь 2021;54;0,000052;
январь 2022;63;0,000062;
февраль 2022;189;0,000170;
март 2022;155;0,000147;
апрель 2022;168;0,000162;
май 2022;215;0,000231;
июнь 2022;167;0,000186;
июль 2022;92;0,000101;
август 2022;312;0,000307;
сентябрь 2022;231;0,000213;
октябрь 2022;78;0,000072;
ноябрь 2022;104;0,000096;
декабрь 2022;112;0,000104;
январь 2023;97;0,000098;
февраль 2023;82;0,000075;
март 2023;116;0,000116;
апрель 2023;125;0,000126;
май 2023;119;0,000131;
июнь 2023;128;0,000142;
июль 2023;103;0,000118;
август 2023;68;0,000073;
сентябрь 2023;75;0,000072;
октябрь 2023;73;0,000071;
ноябрь 2023;59;0,000057;
декабрь 2023;85;0,000081;
январь 2024;97;0,000099;
февраль 2024;170;0,000166;
март 2024;104;0,000109;
апрель 2024;93;0,000103;
май 2024;100;0,000123;
июнь 2024;80;0,000100;
июль 2024;76;0,000095;
август 2024;56;0,000066;
сентябрь 2024;54;0,000055;
октябрь 2024;58;0,000057;
ноябрь 2024;75;0,000072;
декабрь 2024;78;0,000075;
