Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Рязанская область, все устройства
декабрь 2017;39;0,000077;
январь 2018;38;0,000076;
февраль 2018;34;0,000062;
март 2018;51;0,000105;
апрель 2018;34;0,000072;
май 2018;49;0,000111;
июнь 2018;45;0,000101;
июль 2018;59;0,000132;
август 2018;43;0,000083;
сентябрь 2018;44;0,000073;
октябрь 2018;54;0,000098;
ноябрь 2018;27;0,000050;
декабрь 2018;47;0,000084;
январь 2019;41;0,000077;
февраль 2019;35;0,000061;
март 2019;60;0,000114;
апрель 2019;42;0,000085;
май 2019;68;0,000149;
июнь 2019;66;0,000141;
июль 2019;40;0,000084;
август 2019;38;0,000074;
сентябрь 2019;53;0,000092;
октябрь 2019;56;0,000096;
ноябрь 2019;64;0,000105;
декабрь 2019;46;0,000074;
январь 2020;43;0,000070;
февраль 2020;28;0,000041;
март 2020;17;0,000019;
апрель 2020;22;0,000027;
май 2020;57;0,000091;
июнь 2020;44;0,000076;
июль 2020;39;0,000067;
август 2020;80;0,000125;
сентябрь 2020;105;0,000144;
октябрь 2020;53;0,000068;
ноябрь 2020;38;0,000050;
декабрь 2020;91;0,000123;
январь 2021;87;0,000120;
февраль 2021;76;0,000093;
март 2021;110;0,000131;
апрель 2021;140;0,000169;
май 2021;179;0,000234;
июнь 2021;133;0,000193;
июль 2021;107;0,000149;
август 2021;81;0,000099;
сентябрь 2021;122;0,000144;
октябрь 2021;92;0,000105;
ноябрь 2021;91;0,000104;
декабрь 2021;64;0,000073;
январь 2022;101;0,000113;
февраль 2022;148;0,000155;
март 2022;162;0,000179;
апрель 2022;177;0,000203;
май 2022;139;0,000178;
июнь 2022;152;0,000198;
июль 2022;138;0,000178;
август 2022;281;0,000328;
сентябрь 2022;110;0,000120;
октябрь 2022;124;0,000134;
ноябрь 2022;74;0,000081;
декабрь 2022;92;0,000100;
январь 2023;104;0,000124;
февраль 2023;122;0,000132;
март 2023;138;0,000164;
апрель 2023;163;0,000194;
май 2023;105;0,000130;
июнь 2023;140;0,000175;
июль 2023;119;0,000155;
август 2023;72;0,000089;
сентябрь 2023;54;0,000059;
октябрь 2023;71;0,000079;
ноябрь 2023;59;0,000064;
декабрь 2023;114;0,000123;
январь 2024;123;0,000140;
февраль 2024;80;0,000088;
март 2024;104;0,000127;
апрель 2024;128;0,000159;
май 2024;100;0,000140;
июнь 2024;95;0,000129;
июль 2024;290;0,000388;
август 2024;133;0,000171;
сентябрь 2024;158;0,000181;
октябрь 2024;129;0,000141;
ноябрь 2024;147;0,000157;
декабрь 2024;127;0,000134;
