Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;153;0,00068;
январь 2018;135;0,00061;
февраль 2018;211;0,00089;
март 2018;184;0,00081;
апрель 2018;228;0,00102;
май 2018;236;0,00141;
июнь 2018;217;0,00141;
июль 2018;198;0,00124;
август 2018;151;0,00070;
сентябрь 2018;170;0,00065;
октябрь 2018;140;0,00056;
ноябрь 2018;160;0,00065;
декабрь 2018;160;0,00065;
январь 2019;190;0,00075;
февраль 2019;196;0,00076;
март 2019;198;0,00077;
апрель 2019;240;0,00102;
май 2019;238;0,00133;
июнь 2019;187;0,00116;
июль 2019;159;0,00094;
август 2019;173;0,00078;
сентябрь 2019;176;0,00065;
октябрь 2019;169;0,00062;
ноябрь 2019;159;0,00056;
декабрь 2019;192;0,00067;
январь 2020;234;0,00079;
февраль 2020;140;0,00045;
март 2020;64;0,00016;
апрель 2020;135;0,00037;
май 2020;197;0,00075;
июнь 2020;133;0,00059;
июль 2020;209;0,00097;
август 2020;406;0,00148;
сентябрь 2020;227;0,00067;
октябрь 2020;167;0,00043;
ноябрь 2020;219;0,00062;
декабрь 2020;299;0,00090;
январь 2021;273;0,00084;
февраль 2021;367;0,00109;
март 2021;466;0,00132;
апрель 2021;432;0,00128;
май 2021;473;0,00169;
июнь 2021;330;0,00137;
июль 2021;267;0,00109;
август 2021;280;0,00085;
сентябрь 2021;261;0,00070;
октябрь 2021;228;0,00059;
ноябрь 2021;129;0,00032;
декабрь 2021;312;0,00077;
январь 2022;230;0,00056;
февраль 2022;696;0,00164;
март 2022;518;0,00126;
апрель 2022;527;0,00139;
май 2022;385;0,00124;
июнь 2022;351;0,00127;
июль 2022;236;0,00082;
август 2022;552;0,00150;
сентябрь 2022;266;0,00064;
октябрь 2022;268;0,00061;
ноябрь 2022;293;0,00066;
декабрь 2022;227;0,00052;
январь 2023;157;0,00038;
февраль 2023;305;0,00069;
март 2023;340;0,00079;
апрель 2023;363;0,00093;
май 2023;386;0,00126;
июнь 2023;278;0,00103;
июль 2023;229;0,00084;
август 2023;191;0,00054;
сентябрь 2023;294;0,00072;
октябрь 2023;175;0,00043;
ноябрь 2023;235;0,00056;
декабрь 2023;241;0,00059;
январь 2024;254;0,00064;
февраль 2024;285;0,00070;
март 2024;248;0,00062;
апрель 2024;259;0,00071;
май 2024;289;0,00104;
июнь 2024;290;0,00116;
июль 2024;183;0,00072;
август 2024;142;0,00045;
сентябрь 2024;189;0,00050;
октябрь 2024;124;0,00031;
ноябрь 2024;107;0,00026;
декабрь 2024;155;0,00039;
