Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;50;0,000052;
январь 2018;34;0,000036;
февраль 2018;34;0,000032;
март 2018;40;0,000045;
апрель 2018;58;0,000066;
май 2018;68;0,000083;
июнь 2018;61;0,000072;
июль 2018;47;0,000057;
август 2018;48;0,000051;
сентябрь 2018;41;0,000038;
октябрь 2018;45;0,000045;
ноябрь 2018;75;0,000076;
декабрь 2018;98;0,000096;
январь 2019;76;0,000076;
февраль 2019;82;0,000080;
март 2019;58;0,000062;
апрель 2019;34;0,000038;
май 2019;57;0,000070;
июнь 2019;70;0,000083;
июль 2019;44;0,000052;
август 2019;54;0,000060;
сентябрь 2019;36;0,000036;
октябрь 2019;67;0,000066;
ноябрь 2019;44;0,000040;
декабрь 2019;49;0,000044;
январь 2020;58;0,000054;
февраль 2020;55;0,000048;
март 2020;15;0,000010;
апрель 2020;43;0,000033;
май 2020;84;0,000077;
июнь 2020;25;0,000025;
июль 2020;41;0,000040;
август 2020;141;0,000127;
сентябрь 2020;55;0,000042;
октябрь 2020;41;0,000029;
ноябрь 2020;50;0,000037;
декабрь 2020;79;0,000061;
январь 2021;87;0,000069;
февраль 2021;131;0,000092;
март 2021;127;0,000097;
апрель 2021;153;0,000116;
май 2021;163;0,000128;
июнь 2021;180;0,000156;
июль 2021;232;0,000201;
август 2021;97;0,000073;
сентябрь 2021;114;0,000079;
октябрь 2021;129;0,000086;
ноябрь 2021;67;0,000043;
декабрь 2021;109;0,000070;
январь 2022;153;0,000101;
февраль 2022;127;0,000075;
март 2022;157;0,000103;
апрель 2022;211;0,000138;
май 2022;162;0,000117;
июнь 2022;220;0,000160;
июль 2022;244;0,000176;
август 2022;495;0,000326;
сентябрь 2022;204;0,000124;
октябрь 2022;139;0,000083;
ноябрь 2022;76;0,000045;
декабрь 2022;108;0,000065;
январь 2023;112;0,000073;
февраль 2023;159;0,000096;
март 2023;133;0,000087;
апрель 2023;140;0,000091;
май 2023;174;0,000125;
июнь 2023;158;0,000115;
июль 2023;162;0,000119;
август 2023;97;0,000068;
сентябрь 2023;79;0,000049;
октябрь 2023;95;0,000059;
ноябрь 2023;66;0,000040;
декабрь 2023;123;0,000076;
январь 2024;145;0,000095;
февраль 2024;136;0,000085;
март 2024;59;0,000041;
апрель 2024;109;0,000076;
май 2024;106;0,000083;
июнь 2024;129;0,000102;
июль 2024;146;0,000117;
август 2024;96;0,000072;
сентябрь 2024;69;0,000045;
октябрь 2024;108;0,000068;
ноябрь 2024;61;0,000037;
декабрь 2024;64;0,000039;
