Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;414;0,000171;
январь 2018;390;0,000161;
февраль 2018;344;0,000136;
март 2018;357;0,000164;
апрель 2018;415;0,000180;
май 2018;542;0,000238;
июнь 2018;607;0,000238;
июль 2018;617;0,000243;
август 2018;512;0,000200;
сентябрь 2018;486;0,000172;
октябрь 2018;385;0,000148;
ноябрь 2018;372;0,000141;
декабрь 2018;414;0,000153;
январь 2019;397;0,000154;
февраль 2019;436;0,000161;
март 2019;558;0,000215;
апрель 2019;474;0,000187;
май 2019;564;0,000229;
июнь 2019;653;0,000240;
июль 2019;646;0,000235;
август 2019;695;0,000255;
сентябрь 2019;591;0,000208;
октябрь 2019;585;0,000206;
ноябрь 2019;476;0,000159;
декабрь 2019;466;0,000149;
январь 2020;433;0,000143;
февраль 2020;362;0,000114;
март 2020;143;0,000037;
апрель 2020;280;0,000078;
май 2020;334;0,000108;
июнь 2020;233;0,000074;
июль 2020;483;0,000148;
август 2020;984;0,000293;
сентябрь 2020;513;0,000141;
октябрь 2020;341;0,000091;
ноябрь 2020;449;0,000126;
декабрь 2020;528;0,000149;
январь 2021;618;0,000183;
февраль 2021;804;0,000216;
март 2021;923;0,000260;
апрель 2021;1 114;0,000341;
май 2021;1 268;0,000357;
июнь 2021;1 152;0,000291;
июль 2021;1 077;0,000260;
август 2021;754;0,000209;
сентябрь 2021;637;0,000179;
октябрь 2021;544;0,000152;
ноябрь 2021;622;0,000169;
декабрь 2021;619;0,000164;
январь 2022;832;0,000231;
февраль 2022;1 446;0,000359;
март 2022;1 087;0,000289;
апрель 2022;1 029;0,000271;
май 2022;1 154;0,000310;
июнь 2022;1 234;0,000309;
июль 2022;999;0,000243;
август 2022;2 025;0,000500;
сентябрь 2022;937;0,000227;
октябрь 2022;745;0,000181;
ноябрь 2022;639;0,000155;
декабрь 2022;645;0,000156;
январь 2023;638;0,000164;
февраль 2023;772;0,000186;
март 2023;765;0,000193;
апрель 2023;750;0,000193;
май 2023;792;0,000211;
июнь 2023;758;0,000186;
июль 2023;633;0,000153;
август 2023;693;0,000176;
сентябрь 2023;644;0,000160;
октябрь 2023;643;0,000160;
ноябрь 2023;629;0,000155;
декабрь 2023;786;0,000191;
январь 2024;620;0,000165;
февраль 2024;589;0,000151;
март 2024;759;0,000208;
апрель 2024;629;0,000173;
май 2024;763;0,000224;
июнь 2024;665;0,000175;
июль 2024;596;0,000154;
август 2024;666;0,000177;
сентябрь 2024;568;0,000145;
октябрь 2024;422;0,000104;
ноябрь 2024;281;0,000067;
декабрь 2024;424;0,000101;
