Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;223;0,000216;
январь 2018;215;0,000218;
февраль 2018;285;0,000267;
март 2018;297;0,000295;
апрель 2018;414;0,000396;
май 2018;445;0,000530;
июнь 2018;508;0,000584;
июль 2018;461;0,000519;
август 2018;287;0,000285;
сентябрь 2018;190;0,000162;
октябрь 2018;188;0,000173;
ноябрь 2018;147;0,000133;
декабрь 2018;246;0,000222;
январь 2019;202;0,000184;
февраль 2019;297;0,000267;
март 2019;362;0,000334;
апрель 2019;317;0,000311;
май 2019;462;0,000511;
июнь 2019;422;0,000482;
июль 2019;235;0,000264;
август 2019;196;0,000200;
сентябрь 2019;185;0,000166;
октябрь 2019;191;0,000169;
ноябрь 2019;196;0,000163;
декабрь 2019;226;0,000183;
январь 2020;275;0,000228;
февраль 2020;179;0,000133;
март 2020;63;0,000038;
апрель 2020;91;0,000060;
май 2020;226;0,000187;
июнь 2020;203;0,000187;
июль 2020;213;0,000197;
август 2020;426;0,000339;
сентябрь 2020;312;0,000207;
октябрь 2020;369;0,000220;
ноябрь 2020;195;0,000133;
декабрь 2020;429;0,000302;
январь 2021;368;0,000277;
февраль 2021;393;0,000276;
март 2021;554;0,000385;
апрель 2021;659;0,000482;
май 2021;667;0,000516;
июнь 2021;651;0,000544;
июль 2021;521;0,000423;
август 2021;393;0,000289;
сентябрь 2021;344;0,000227;
октябрь 2021;242;0,000159;
ноябрь 2021;223;0,000139;
декабрь 2021;341;0,000213;
январь 2022;360;0,000227;
февраль 2022;683;0,000404;
март 2022;675;0,000424;
апрель 2022;925;0,000612;
май 2022;973;0,000697;
июнь 2022;1 072;0,000805;
июль 2022;786;0,000581;
август 2022;900;0,000594;
сентябрь 2022;555;0,000331;
октябрь 2022;391;0,000226;
ноябрь 2022;386;0,000220;
декабрь 2022;394;0,000231;
январь 2023;432;0,000270;
февраль 2023;550;0,000316;
март 2023;487;0,000291;
апрель 2023;596;0,000379;
май 2023;797;0,000587;
июнь 2023;781;0,000589;
июль 2023;466;0,000349;
август 2023;385;0,000266;
сентябрь 2023;424;0,000261;
октябрь 2023;296;0,000185;
ноябрь 2023;367;0,000216;
декабрь 2023;410;0,000250;
январь 2024;417;0,000265;
февраль 2024;460;0,000293;
март 2024;357;0,000238;
апрель 2024;494;0,000345;
май 2024;544;0,000449;
июнь 2024;590;0,000502;
июль 2024;397;0,000330;
август 2024;280;0,000212;
сентябрь 2024;305;0,000196;
октябрь 2024;229;0,000148;
ноябрь 2024;240;0,000148;
декабрь 2024;308;0,000195;
