Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;77;0,000140;
январь 2018;61;0,000113;
февраль 2018;50;0,000087;
март 2018;133;0,000252;
апрель 2018;97;0,000180;
май 2018;124;0,000245;
июнь 2018;131;0,000238;
июль 2018;106;0,000197;
август 2018;113;0,000199;
сентябрь 2018;84;0,000130;
октябрь 2018;80;0,000132;
ноябрь 2018;80;0,000116;
декабрь 2018;137;0,000170;
январь 2019;122;0,000163;
февраль 2019;107;0,000133;
март 2019;121;0,000155;
апрель 2019;138;0,000169;
май 2019;141;0,000187;
июнь 2019;160;0,000218;
июль 2019;212;0,000285;
август 2019;202;0,000291;
сентябрь 2019;115;0,000159;
октябрь 2019;119;0,000164;
ноябрь 2019;105;0,000139;
декабрь 2019;107;0,000139;
январь 2020;93;0,000125;
февраль 2020;114;0,000140;
март 2020;40;0,000040;
апрель 2020;83;0,000094;
май 2020;133;0,000172;
июнь 2020;40;0,000056;
июль 2020;120;0,000163;
август 2020;316;0,000389;
сентябрь 2020;186;0,000208;
октябрь 2020;189;0,000221;
ноябрь 2020;131;0,000150;
декабрь 2020;112;0,000135;
январь 2021;166;0,000213;
февраль 2021;147;0,000173;
март 2021;111;0,000131;
апрель 2021;195;0,000233;
май 2021;144;0,000176;
июнь 2021;134;0,000168;
июль 2021;133;0,000162;
август 2021;151;0,000182;
сентябрь 2021;161;0,000183;
октябрь 2021;131;0,000144;
ноябрь 2021;113;0,000120;
декабрь 2021;153;0,000163;
январь 2022;130;0,000142;
февраль 2022;297;0,000294;
март 2022;161;0,000168;
апрель 2022;248;0,000258;
май 2022;295;0,000324;
июнь 2022;280;0,000315;
июль 2022;234;0,000267;
август 2022;479;0,000497;
сентябрь 2022;321;0,000312;
октябрь 2022;372;0,000334;
ноябрь 2022;149;0,000140;
декабрь 2022;210;0,000201;
январь 2023;148;0,000153;
февраль 2023;161;0,000151;
март 2023;184;0,000181;
апрель 2023;175;0,000181;
май 2023;163;0,000187;
июнь 2023;222;0,000255;
июль 2023;161;0,000180;
август 2023;234;0,000260;
сентябрь 2023;201;0,000203;
октябрь 2023;192;0,000193;
ноябрь 2023;170;0,000170;
декабрь 2023;167;0,000165;
январь 2024;182;0,000191;
февраль 2024;154;0,000158;
март 2024;118;0,000127;
апрель 2024;149;0,000165;
май 2024;179;0,000219;
июнь 2024;144;0,000178;
июль 2024;114;0,000142;
август 2024;140;0,000167;
сентябрь 2024;225;0,000235;
октябрь 2024;128;0,000130;
ноябрь 2024;67;0,000065;
декабрь 2024;84;0,000084;
