Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;88;0,000266;
январь 2018;99;0,000305;
февраль 2018;136;0,000385;
март 2018;107;0,000341;
апрель 2018;113;0,000358;
май 2018;141;0,000457;
июнь 2018;173;0,000548;
июль 2018;112;0,000351;
август 2018;102;0,000288;
сентябрь 2018;96;0,000243;
октябрь 2018;82;0,000230;
ноябрь 2018;90;0,000251;
декабрь 2018;103;0,000276;
январь 2019;88;0,000251;
февраль 2019;95;0,000255;
март 2019;163;0,000472;
апрель 2019;158;0,000453;
май 2019;114;0,000372;
июнь 2019;145;0,000447;
июль 2019;155;0,000485;
август 2019;106;0,000314;
сентябрь 2019;89;0,000235;
октябрь 2019;98;0,000263;
ноябрь 2019;75;0,000193;
декабрь 2019;102;0,000255;
январь 2020;130;0,000335;
февраль 2020;69;0,000164;
март 2020;35;0,000067;
апрель 2020;71;0,000153;
май 2020;89;0,000229;
июнь 2020;70;0,000182;
июль 2020;103;0,000268;
август 2020;127;0,000303;
сентябрь 2020;105;0,000222;
октябрь 2020;80;0,000160;
ноябрь 2020;81;0,000170;
декабрь 2020;144;0,000315;
январь 2021;138;0,000322;
февраль 2021;170;0,000358;
март 2021;233;0,000466;
апрель 2021;213;0,000407;
май 2021;221;0,000456;
июнь 2021;258;0,000557;
июль 2021;178;0,000366;
август 2021;160;0,000309;
сентябрь 2021;189;0,000335;
октябрь 2021;169;0,000284;
ноябрь 2021;123;0,000210;
декабрь 2021;182;0,000305;
январь 2022;241;0,000419;
февраль 2022;353;0,000582;
март 2022;248;0,000413;
апрель 2022;248;0,000413;
май 2022;288;0,000524;
июнь 2022;328;0,000578;
июль 2022;286;0,000512;
август 2022;627;0,001048;
сентябрь 2022;291;0,000460;
октябрь 2022;192;0,000299;
ноябрь 2022;227;0,000356;
декабрь 2022;229;0,000360;
январь 2023;238;0,000396;
февраль 2023;211;0,000331;
март 2023;246;0,000412;
апрель 2023;277;0,000473;
май 2023;356;0,000655;
июнь 2023;324;0,000577;
июль 2023;217;0,000381;
август 2023;163;0,000286;
сентябрь 2023;178;0,000289;
октябрь 2023;107;0,000176;
ноябрь 2023;118;0,000190;
декабрь 2023;165;0,000262;
январь 2024;139;0,000238;
февраль 2024;177;0,000295;
март 2024;231;0,000398;
апрель 2024;296;0,000526;
май 2024;218;0,000424;
июнь 2024;184;0,000343;
июль 2024;160;0,000299;
август 2024;135;0,000242;
сентябрь 2024;88;0,000147;
октябрь 2024;191;0,000313;
ноябрь 2024;110;0,000173;
декабрь 2024;197;0,000314;
