Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;14;0,0000526;
январь 2018;6;0,0000226;
февраль 2018;29;0,0001028;
март 2018;4;0,0000155;
апрель 2018;9;0,0000387;
май 2018;4;0,0000186;
июнь 2018;46;0,0002180;
июль 2018;10;0,0000444;
август 2018;6;0,0000229;
сентябрь 2018;6;0,0000194;
октябрь 2018;4;0,0000142;
ноябрь 2018;12;0,0000420;
декабрь 2018;5;0,0000164;
январь 2019;6;0,0000208;
февраль 2019;5;0,0000160;
март 2019;17;0,0000580;
апрель 2019;19;0,0000678;
май 2019;24;0,0001038;
июнь 2019;24;0,0001055;
июль 2019;21;0,0000935;
август 2019;24;0,0000994;
сентябрь 2019;17;0,0000603;
октябрь 2019;16;0,0000571;
ноябрь 2019;3;0,0000103;
декабрь 2019;6;0,0000201;
январь 2020;6;0,0000209;
февраль 2020;4;0,0000128;
март 2020;1;0,0000024;
апрель 2020;5;0,0000147;
май 2020;18;0,0000659;
июнь 2020;4;0,0000151;
июль 2020;6;0,0000231;
август 2020;19;0,0000647;
сентябрь 2020;18;0,0000535;
октябрь 2020;3;0,0000078;
ноябрь 2020;14;0,0000368;
декабрь 2020;4;0,0000113;
январь 2021;7;0,0000222;
февраль 2021;20;0,0000585;
март 2021;22;0,0000612;
апрель 2021;61;0,0001617;
май 2021;14;0,0000418;
июнь 2021;22;0,0000760;
июль 2021;24;0,0000783;
август 2021;13;0,0000360;
сентябрь 2021;17;0,0000420;
октябрь 2021;11;0,0000271;
ноябрь 2021;11;0,0000265;
декабрь 2021;9;0,0000214;
январь 2022;37;0,0000899;
февраль 2022;47;0,0001062;
март 2022;14;0,0000327;
апрель 2022;43;0,0001032;
май 2022;54;0,0001455;
июнь 2022;51;0,0001401;
июль 2022;16;0,0000437;
август 2022;50;0,0001225;
сентябрь 2022;25;0,0000578;
октябрь 2022;15;0,0000342;
ноябрь 2022;15;0,0000345;
декабрь 2022;22;0,0000514;
январь 2023;17;0,0000427;
февраль 2023;17;0,0000388;
март 2023;38;0,0000922;
апрель 2023;47;0,0001192;
май 2023;18;0,0000503;
июнь 2023;23;0,0000624;
июль 2023;15;0,0000423;
август 2023;16;0,0000425;
сентябрь 2023;26;0,0000626;
октябрь 2023;14;0,0000341;
ноябрь 2023;18;0,0000434;
декабрь 2023;14;0,0000331;
январь 2024;25;0,0000633;
февраль 2024;17;0,0000415;
март 2024;33;0,0000837;
апрель 2024;15;0,0000405;
май 2024;11;0,0000339;
июнь 2024;20;0,0000605;
июль 2024;16;0,0000486;
август 2024;21;0,0000613;
сентябрь 2024;5;0,0000129;
октябрь 2024;15;0,0000373;
ноябрь 2024;10;0,0000240;
декабрь 2024;19;0,0000463;
