Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;92;0,000484;
январь 2018;63;0,000346;
февраль 2018;78;0,000403;
март 2018;112;0,000634;
апрель 2018;87;0,000466;
май 2018;123;0,000785;
июнь 2018;112;0,000658;
июль 2018;122;0,000712;
август 2018;40;0,000210;
сентябрь 2018;51;0,000235;
октябрь 2018;42;0,000208;
ноябрь 2018;27;0,000135;
декабрь 2018;38;0,000189;
январь 2019;51;0,000260;
февраль 2019;67;0,000338;
март 2019;148;0,000749;
апрель 2019;115;0,000617;
май 2019;102;0,000624;
июнь 2019;79;0,000474;
июль 2019;69;0,000410;
август 2019;53;0,000297;
сентябрь 2019;49;0,000239;
октябрь 2019;52;0,000250;
ноябрь 2019;55;0,000248;
декабрь 2019;87;0,000376;
январь 2020;57;0,000257;
февраль 2020;61;0,000252;
март 2020;10;0,000033;
апрель 2020;24;0,000086;
май 2020;30;0,000126;
июнь 2020;22;0,000103;
июль 2020;36;0,000170;
август 2020;70;0,000301;
сентябрь 2020;77;0,000281;
октябрь 2020;49;0,000160;
ноябрь 2020;40;0,000140;
декабрь 2020;72;0,000268;
январь 2021;61;0,000244;
февраль 2021;79;0,000300;
март 2021;102;0,000379;
апрель 2021;133;0,000499;
май 2021;129;0,000517;
июнь 2021;114;0,000484;
июль 2021;98;0,000404;
август 2021;112;0,000429;
сентябрь 2021;61;0,000209;
октябрь 2021;59;0,000196;
ноябрь 2021;74;0,000236;
декабрь 2021;70;0,000224;
январь 2022;69;0,000217;
февраль 2022;124;0,000381;
март 2022;93;0,000302;
апрель 2022;93;0,000316;
май 2022;214;0,000786;
июнь 2022;256;0,000948;
июль 2022;191;0,000704;
август 2022;192;0,000649;
сентябрь 2022;121;0,000377;
октябрь 2022;66;0,000197;
ноябрь 2022;80;0,000237;
декабрь 2022;69;0,000205;
январь 2023;74;0,000238;
февраль 2023;109;0,000327;
март 2023;107;0,000327;
апрель 2023;150;0,000483;
май 2023;202;0,000748;
июнь 2023;171;0,000639;
июль 2023;118;0,000435;
август 2023;100;0,000347;
сентябрь 2023;98;0,000309;
октябрь 2023;106;0,000332;
ноябрь 2023;84;0,000252;
декабрь 2023;90;0,000271;
январь 2024;79;0,000254;
февраль 2024;105;0,000340;
март 2024;145;0,000490;
апрель 2024;114;0,000409;
май 2024;174;0,000720;
июнь 2024;129;0,000526;
июль 2024;132;0,000537;
август 2024;73;0,000277;
сентябрь 2024;61;0,000204;
октябрь 2024;47;0,000153;
ноябрь 2024;127;0,000397;
декабрь 2024;84;0,000263;
