Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;30;0,000083;
январь 2018;11;0,000031;
февраль 2018;24;0,000063;
март 2018;20;0,000056;
апрель 2018;30;0,000087;
май 2018;38;0,000127;
июнь 2018;24;0,000089;
июль 2018;21;0,000073;
август 2018;13;0,000037;
сентябрь 2018;15;0,000037;
октябрь 2018;12;0,000033;
ноябрь 2018;28;0,000078;
декабрь 2018;30;0,000081;
январь 2019;16;0,000046;
февраль 2019;44;0,000120;
март 2019;23;0,000065;
апрель 2019;21;0,000062;
май 2019;50;0,000173;
июнь 2019;42;0,000154;
июль 2019;38;0,000137;
август 2019;32;0,000097;
сентябрь 2019;31;0,000082;
октябрь 2019;37;0,000097;
ноябрь 2019;25;0,000064;
декабрь 2019;22;0,000053;
январь 2020;36;0,000090;
февраль 2020;22;0,000049;
март 2020;15;0,000025;
апрель 2020;38;0,000073;
май 2020;23;0,000060;
июнь 2020;20;0,000060;
июль 2020;47;0,000142;
август 2020;115;0,000295;
сентябрь 2020;59;0,000130;
октябрь 2020;44;0,000094;
ноябрь 2020;43;0,000094;
декабрь 2020;39;0,000086;
январь 2021;38;0,000091;
февраль 2021;52;0,000113;
март 2021;46;0,000095;
апрель 2021;73;0,000143;
май 2021;88;0,000208;
июнь 2021;40;0,000113;
июль 2021;76;0,000208;
август 2021;38;0,000081;
сентябрь 2021;56;0,000106;
октябрь 2021;59;0,000110;
ноябрь 2021;64;0,000116;
декабрь 2021;34;0,000060;
январь 2022;77;0,000142;
февраль 2022;205;0,000347;
март 2022;119;0,000209;
апрель 2022;133;0,000241;
май 2022;82;0,000177;
июнь 2022;107;0,000251;
июль 2022;72;0,000169;
август 2022;193;0,000372;
сентябрь 2022;91;0,000159;
октябрь 2022;61;0,000105;
ноябрь 2022;78;0,000135;
декабрь 2022;46;0,000079;
январь 2023;49;0,000092;
февраль 2023;72;0,000123;
март 2023;72;0,000129;
апрель 2023;54;0,000102;
май 2023;47;0,000107;
июнь 2023;37;0,000090;
июль 2023;41;0,000101;
август 2023;51;0,000107;
сентябрь 2023;39;0,000073;
октябрь 2023;45;0,000084;
ноябрь 2023;49;0,000090;
декабрь 2023;43;0,000077;
январь 2024;53;0,000102;
февраль 2024;44;0,000080;
март 2024;88;0,000168;
апрель 2024;59;0,000120;
май 2024;69;0,000174;
июнь 2024;77;0,000208;
июль 2024;131;0,000351;
август 2024;25;0,000057;
сентябрь 2024;26;0,000051;
октябрь 2024;27;0,000052;
ноябрь 2024;19;0,000035;
декабрь 2024;20;0,000037;
