Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;193;0,000201;
январь 2018;155;0,000164;
февраль 2018;222;0,000224;
март 2018;246;0,000269;
апрель 2018;322;0,000350;
май 2018;293;0,000366;
июнь 2018;371;0,000457;
июль 2018;351;0,000429;
август 2018;294;0,000310;
сентябрь 2018;334;0,000301;
октябрь 2018;266;0,000260;
ноябрь 2018;249;0,000241;
декабрь 2018;285;0,000273;
январь 2019;295;0,000284;
февраль 2019;253;0,000237;
март 2019;368;0,000354;
апрель 2019;275;0,000284;
май 2019;274;0,000317;
июнь 2019;416;0,000498;
июль 2019;333;0,000395;
август 2019;339;0,000355;
сентябрь 2019;392;0,000358;
октябрь 2019;373;0,000338;
ноябрь 2019;293;0,000252;
декабрь 2019;375;0,000318;
январь 2020;289;0,000250;
февраль 2020;143;0,000115;
март 2020;39;0,000024;
апрель 2020;86;0,000062;
май 2020;163;0,000143;
июнь 2020;110;0,000106;
июль 2020;209;0,000197;
август 2020;468;0,000383;
сентябрь 2020;268;0,000191;
октябрь 2020;230;0,000146;
ноябрь 2020;280;0,000192;
декабрь 2020;274;0,000197;
январь 2021;300;0,000228;
февраль 2021;367;0,000258;
март 2021;441;0,000307;
апрель 2021;591;0,000432;
май 2021;536;0,000429;
июнь 2021;496;0,000405;
июль 2021;538;0,000430;
август 2021;348;0,000260;
сентябрь 2021;489;0,000332;
октябрь 2021;389;0,000257;
ноябрь 2021;322;0,000201;
декабрь 2021;378;0,000244;
январь 2022;313;0,000202;
февраль 2022;826;0,000500;
март 2022;702;0,000441;
апрель 2022;1 022;0,000684;
май 2022;1 136;0,000837;
июнь 2022;1 284;0,000971;
июль 2022;925;0,000690;
август 2022;1 463;0,000970;
сентябрь 2022;1 180;0,000719;
октябрь 2022;736;0,000428;
ноябрь 2022;491;0,000287;
декабрь 2022;449;0,000266;
январь 2023;442;0,000285;
февраль 2023;528;0,000313;
март 2023;607;0,000370;
апрель 2023;817;0,000528;
май 2023;863;0,000643;
июнь 2023;850;0,000664;
июль 2023;811;0,000623;
август 2023;581;0,000406;
сентябрь 2023;701;0,000441;
октябрь 2023;530;0,000335;
ноябрь 2023;375;0,000226;
декабрь 2023;549;0,000342;
январь 2024;437;0,000284;
февраль 2024;449;0,000290;
март 2024;425;0,000283;
апрель 2024;530;0,000380;
май 2024;585;0,000486;
июнь 2024;487;0,000412;
июль 2024;342;0,000287;
август 2024;241;0,000181;
сентябрь 2024;411;0,000271;
октябрь 2024;357;0,000228;
ноябрь 2024;222;0,000132;
декабрь 2024;290;0,000182;
