Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;107;0,000097;
январь 2018;134;0,000120;
февраль 2018;185;0,000155;
март 2018;200;0,000182;
апрель 2018;288;0,000266;
май 2018;194;0,000200;
июнь 2018;221;0,000242;
июль 2018;169;0,000177;
август 2018;96;0,000087;
сентябрь 2018;140;0,000107;
октябрь 2018;124;0,000107;
ноябрь 2018;93;0,000082;
декабрь 2018;107;0,000092;
январь 2019;107;0,000092;
февраль 2019;146;0,000124;
март 2019;133;0,000117;
апрель 2019;157;0,000152;
май 2019;184;0,000193;
июнь 2019;158;0,000169;
июль 2019;141;0,000145;
август 2019;120;0,000117;
сентябрь 2019;94;0,000079;
октябрь 2019;110;0,000093;
ноябрь 2019;87;0,000072;
декабрь 2019;88;0,000072;
январь 2020;119;0,000100;
февраль 2020;131;0,000101;
март 2020;40;0,000023;
апрель 2020;95;0,000068;
май 2020;158;0,000130;
июнь 2020;83;0,000076;
июль 2020;93;0,000085;
август 2020;244;0,000200;
сентябрь 2020;133;0,000094;
октябрь 2020;166;0,000108;
ноябрь 2020;161;0,000105;
декабрь 2020;172;0,000126;
январь 2021;236;0,000174;
февраль 2021;675;0,000466;
март 2021;458;0,000305;
апрель 2021;467;0,000321;
май 2021;552;0,000402;
июнь 2021;364;0,000288;
июль 2021;397;0,000319;
август 2021;453;0,000301;
сентябрь 2021;279;0,000171;
октябрь 2021;246;0,000146;
ноябрь 2021;195;0,000111;
декабрь 2021;223;0,000130;
январь 2022;174;0,000100;
февраль 2022;370;0,000199;
март 2022;388;0,000219;
апрель 2022;424;0,000249;
май 2022;409;0,000264;
июнь 2022;425;0,000300;
июль 2022;339;0,000235;
август 2022;681;0,000412;
сентябрь 2022;346;0,000193;
октябрь 2022;187;0,000103;
ноябрь 2022;189;0,000102;
декабрь 2022;229;0,000127;
январь 2023;196;0,000116;
февраль 2023;276;0,000150;
март 2023;290;0,000168;
апрель 2023;309;0,000189;
май 2023;340;0,000226;
июнь 2023;351;0,000246;
июль 2023;231;0,000162;
август 2023;196;0,000126;
сентябрь 2023;157;0,000090;
октябрь 2023;209;0,000121;
ноябрь 2023;123;0,000069;
декабрь 2023;173;0,000099;
январь 2024;189;0,000114;
февраль 2024;222;0,000132;
март 2024;182;0,000112;
апрель 2024;263;0,000166;
май 2024;266;0,000201;
июнь 2024;197;0,000149;
июль 2024;174;0,000131;
август 2024;142;0,000099;
сентябрь 2024;133;0,000080;
октябрь 2024;113;0,000066;
ноябрь 2024;102;0,000058;
декабрь 2024;140;0,000082;
