Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;679;0,000370;
январь 2018;594;0,000326;
февраль 2018;703;0,000346;
март 2018;791;0,000433;
апрель 2018;924;0,000496;
май 2018;1 300;0,000818;
июнь 2018;1 256;0,000781;
июль 2018;1 025;0,000626;
август 2018;834;0,000445;
сентябрь 2018;903;0,000412;
октябрь 2018;593;0,000301;
ноябрь 2018;612;0,000286;
декабрь 2018;742;0,000324;
январь 2019;654;0,000312;
февраль 2019;771;0,000358;
март 2019;789;0,000381;
апрель 2019;894;0,000441;
май 2019;1 009;0,000550;
июнь 2019;1 280;0,000721;
июль 2019;859;0,000486;
август 2019;746;0,000394;
сентябрь 2019;913;0,000439;
октябрь 2019;634;0,000306;
ноябрь 2019;700;0,000315;
декабрь 2019;787;0,000346;
январь 2020;636;0,000291;
февраль 2020;802;0,000342;
март 2020;206;0,000074;
апрель 2020;329;0,000129;
май 2020;616;0,000303;
июнь 2020;652;0,000330;
июль 2020;817;0,000408;
август 2020;1 816;0,000805;
сентябрь 2020;1 025;0,000405;
октябрь 2020;1 048;0,000392;
ноябрь 2020;1 016;0,000379;
декабрь 2020;1 146;0,000458;
январь 2021;1 187;0,000500;
февраль 2021;1 217;0,000473;
март 2021;1 319;0,000531;
апрель 2021;1 396;0,000614;
май 2021;1 421;0,000643;
июнь 2021;1 458;0,000655;
июль 2021;1 352;0,000594;
август 2021;1 255;0,000535;
сентябрь 2021;1 062;0,000435;
октябрь 2021;876;0,000363;
ноябрь 2021;743;0,000298;
декабрь 2021;896;0,000361;
январь 2022;954;0,000379;
февраль 2022;2 035;0,000764;
март 2022;1 729;0,000681;
апрель 2022;1 935;0,000778;
май 2022;2 294;0,000986;
июнь 2022;2 565;0,001147;
июль 2022;1 950;0,000839;
август 2022;3 119;0,001245;
сентябрь 2022;2 059;0,000750;
октябрь 2022;1 507;0,000531;
ноябрь 2022;1 124;0,000398;
декабрь 2022;1 108;0,000405;
январь 2023;1 065;0,000413;
февраль 2023;1 390;0,000497;
март 2023;1 452;0,000558;
апрель 2023;1 508;0,000613;
май 2023;1 673;0,000763;
июнь 2023;1 771;0,000817;
июль 2023;1 275;0,000597;
август 2023;1 075;0,000460;
сентябрь 2023;1 156;0,000447;
октябрь 2023;1 024;0,000403;
ноябрь 2023;792;0,000303;
декабрь 2023;1 167;0,000440;
январь 2024;984;0,000393;
февраль 2024;978;0,000394;
март 2024;984;0,000417;
апрель 2024;1 002;0,000439;
май 2024;1 225;0,000605;
июнь 2024;1 199;0,000595;
июль 2024;1 304;0,000645;
август 2024;765;0,000347;
сентябрь 2024;828;0,000321;
октябрь 2024;704;0,000275;
ноябрь 2024;764;0,000290;
декабрь 2024;679;0,000259;
