Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;0;0;
январь 2018;4;0,000100;
февраль 2018;6;0,000139;
март 2018;19;0,000500;
апрель 2018;7;0,000186;
май 2018;11;0,000327;
июнь 2018;9;0,000232;
июль 2018;16;0,000411;
август 2018;6;0,000148;
сентябрь 2018;8;0,000179;
октябрь 2018;2;0,000043;
ноябрь 2018;0;0;
декабрь 2018;7;0,000139;
январь 2019;4;0,000083;
февраль 2019;7;0,000140;
март 2019;3;0,000061;
апрель 2019;10;0,000224;
май 2019;16;0,000389;
июнь 2019;9;0,000205;
июль 2019;17;0,000397;
август 2019;6;0,000135;
сентябрь 2019;10;0,000201;
октябрь 2019;4;0,000077;
ноябрь 2019;10;0,000169;
декабрь 2019;3;0,000049;
январь 2020;4;0,000071;
февраль 2020;7;0,000113;
март 2020;0;0;
апрель 2020;1;0,000014;
май 2020;9;0,000154;
июнь 2020;48;0,000865;
июль 2020;29;0,000539;
август 2020;13;0,000228;
сентябрь 2020;7;0,000105;
октябрь 2020;2;0,000028;
ноябрь 2020;3;0,000044;
декабрь 2020;6;0,000092;
январь 2021;4;0,000067;
февраль 2021;7;0,000111;
март 2021;5;0,000076;
апрель 2021;3;0,000046;
май 2021;9;0,000129;
июнь 2021;11;0,000177;
июль 2021;17;0,000273;
август 2021;5;0,000070;
сентябрь 2021;9;0,000111;
октябрь 2021;29;0,000341;
ноябрь 2021;18;0,000201;
декабрь 2021;8;0,000087;
январь 2022;12;0,000135;
февраль 2022;15;0,000152;
март 2022;6;0,000071;
апрель 2022;9;0,000105;
май 2022;10;0,000123;
июнь 2022;9;0,000112;
июль 2022;26;0,000329;
август 2022;34;0,000405;
сентябрь 2022;6;0,000066;
октябрь 2022;10;0,000105;
ноябрь 2022;5;0,000052;
декабрь 2022;3;0,000031;
январь 2023;5;0,000057;
февраль 2023;11;0,000118;
март 2023;7;0,000086;
апрель 2023;2;0,000023;
май 2023;9;0,000116;
июнь 2023;6;0,000076;
июль 2023;3;0,000037;
август 2023;1;0,000012;
сентябрь 2023;1;0,000011;
октябрь 2023;10;0,000108;
ноябрь 2023;9;0,000092;
декабрь 2023;6;0,000061;
январь 2024;5;0,000057;
февраль 2024;5;0,000059;
март 2024;0;0;
апрель 2024;12;0,000149;
май 2024;2;0,000027;
июнь 2024;5;0,000068;
июль 2024;9;0,000120;
август 2024;6;0,000081;
сентябрь 2024;4;0,000047;
октябрь 2024;12;0,000140;
ноябрь 2024;3;0,000031;
декабрь 2024;1;0,000010;
