Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;42;0,000132;
январь 2018;24;0,000077;
февраль 2018;34;0,000103;
март 2018;26;0,000086;
апрель 2018;39;0,000130;
май 2018;59;0,000223;
июнь 2018;51;0,000189;
июль 2018;32;0,000118;
август 2018;31;0,000098;
сентябрь 2018;30;0,000081;
октябрь 2018;24;0,000068;
ноябрь 2018;21;0,000061;
декабрь 2018;26;0,000073;
январь 2019;24;0,000069;
февраль 2019;25;0,000069;
март 2019;50;0,000142;
апрель 2019;37;0,000113;
май 2019;30;0,000106;
июнь 2019;40;0,000142;
июль 2019;31;0,000108;
август 2019;53;0,000158;
сентябрь 2019;30;0,000074;
октябрь 2019;34;0,000083;
ноябрь 2019;22;0,000051;
декабрь 2019;32;0,000075;
январь 2020;23;0,000052;
февраль 2020;32;0,000067;
март 2020;26;0,000043;
апрель 2020;18;0,000034;
май 2020;19;0,000048;
июнь 2020;39;0,000107;
июль 2020;48;0,000131;
август 2020;52;0,000119;
сентябрь 2020;57;0,000104;
октябрь 2020;44;0,000071;
ноябрь 2020;23;0,000040;
декабрь 2020;34;0,000067;
январь 2021;82;0,000167;
февраль 2021;73;0,000150;
март 2021;65;0,000128;
апрель 2021;71;0,000147;
май 2021;68;0,000159;
июнь 2021;67;0,000168;
июль 2021;73;0,000182;
август 2021;56;0,000119;
сентябрь 2021;66;0,000125;
октябрь 2021;64;0,000108;
ноябрь 2021;28;0,000049;
декабрь 2021;40;0,000072;
январь 2022;53;0,000096;
февраль 2022;117;0,000200;
март 2022;94;0,000166;
апрель 2022;137;0,000257;
май 2022;80;0,000173;
июнь 2022;106;0,000239;
июль 2022;71;0,000158;
август 2022;150;0,000285;
сентябрь 2022;82;0,000140;
октябрь 2022;90;0,000144;
ноябрь 2022;51;0,000082;
декабрь 2022;63;0,000102;
январь 2023;84;0,000148;
февраль 2023;59;0,000095;
март 2023;106;0,000175;
апрель 2023;101;0,000178;
май 2023;80;0,000167;
июнь 2023;109;0,000240;
июль 2023;61;0,000133;
август 2023;82;0,000159;
сентябрь 2023;72;0,000123;
октябрь 2023;103;0,000179;
ноябрь 2023;32;0,000053;
декабрь 2023;105;0,000178;
январь 2024;47;0,000083;
февраль 2024;78;0,000142;
март 2024;108;0,000206;
апрель 2024;94;0,000194;
май 2024;64;0,000157;
июнь 2024;66;0,000169;
июль 2024;33;0,000083;
август 2024;35;0,000078;
сентябрь 2024;45;0,000085;
октябрь 2024;49;0,000088;
ноябрь 2024;40;0,000068;
декабрь 2024;46;0,000080;
