Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;18;0,0000361;
январь 2018;9;0,0000182;
февраль 2018;28;0,0000526;
март 2018;17;0,0000336;
апрель 2018;21;0,0000420;
май 2018;32;0,0000679;
июнь 2018;28;0,0000614;
июль 2018;42;0,0000930;
август 2018;17;0,0000318;
сентябрь 2018;12;0,0000199;
октябрь 2018;16;0,0000296;
ноябрь 2018;16;0,0000294;
декабрь 2018;33;0,0000603;
январь 2019;15;0,0000288;
февраль 2019;13;0,0000234;
март 2019;10;0,0000188;
апрель 2019;11;0,0000223;
май 2019;21;0,0000464;
июнь 2019;40;0,0000870;
июль 2019;27;0,0000570;
август 2019;21;0,0000398;
сентябрь 2019;51;0,0000865;
октябрь 2019;16;0,0000273;
ноябрь 2019;15;0,0000259;
декабрь 2019;22;0,0000367;
январь 2020;15;0,0000256;
февраль 2020;17;0,0000263;
март 2020;3;0,0000036;
апрель 2020;8;0,0000102;
май 2020;8;0,0000133;
июнь 2020;14;0,0000263;
июль 2020;24;0,0000455;
август 2020;46;0,0000757;
сентябрь 2020;11;0,0000158;
октябрь 2020;18;0,0000246;
ноябрь 2020;14;0,0000198;
декабрь 2020;26;0,0000382;
январь 2021;23;0,0000351;
февраль 2021;36;0,0000515;
март 2021;55;0,0000762;
апрель 2021;77;0,0001091;
май 2021;76;0,0001153;
июнь 2021;51;0,0000827;
июль 2021;45;0,0000710;
август 2021;37;0,0000513;
сентябрь 2021;42;0,0000534;
октябрь 2021;18;0,0000225;
ноябрь 2021;19;0,0000229;
декабрь 2021;34;0,0000415;
январь 2022;41;0,0000516;
февраль 2022;46;0,0000525;
март 2022;65;0,0000782;
апрель 2022;46;0,0000560;
май 2022;62;0,0000853;
июнь 2022;91;0,0001297;
июль 2022;45;0,0000614;
август 2022;96;0,0001153;
сентябрь 2022;69;0,0000779;
октябрь 2022;40;0,0000474;
ноябрь 2022;26;0,0000310;
декабрь 2022;67;0,0000794;
январь 2023;42;0,0000540;
февраль 2023;84;0,0000969;
март 2023;67;0,0000836;
апрель 2023;65;0,0000828;
май 2023;64;0,0000898;
июнь 2023;115;0,0001639;
июль 2023;65;0,0000946;
август 2023;27;0,0000363;
сентябрь 2023;61;0,0000737;
октябрь 2023;47;0,0000576;
ноябрь 2023;29;0,0000348;
декабрь 2023;56;0,0000674;
январь 2024;70;0,0000911;
февраль 2024;37;0,0000466;
март 2024;88;0,0001158;
апрель 2024;69;0,0000928;
май 2024;81;0,0001285;
июнь 2024;54;0,0000860;
июль 2024;41;0,0000656;
август 2024;40;0,0000592;
сентябрь 2024;38;0,0000494;
октябрь 2024;45;0,0000567;
ноябрь 2024;25;0,0000312;
декабрь 2024;31;0,0000383;
