Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;92;0,000108;
январь 2018;64;0,000079;
февраль 2018;133;0,000152;
март 2018;79;0,000100;
апрель 2018;150;0,000180;
май 2018;130;0,000187;
июнь 2018;183;0,000261;
июль 2018;186;0,000256;
август 2018;115;0,000140;
сентябрь 2018;119;0,000124;
октябрь 2018;98;0,000109;
ноябрь 2018;94;0,000105;
декабрь 2018;96;0,000108;
январь 2019;75;0,000085;
февраль 2019;128;0,000142;
март 2019;126;0,000143;
апрель 2019;148;0,000182;
май 2019;122;0,000166;
июнь 2019;149;0,000212;
июль 2019;122;0,000171;
август 2019;84;0,000107;
сентябрь 2019;123;0,000136;
октябрь 2019;89;0,000095;
ноябрь 2019;98;0,000099;
декабрь 2019;127;0,000126;
январь 2020;89;0,000091;
февраль 2020;88;0,000081;
март 2020;34;0,000026;
апрель 2020;51;0,000044;
май 2020;92;0,000095;
июнь 2020;69;0,000076;
июль 2020;118;0,000132;
август 2020;232;0,000223;
сентябрь 2020;128;0,000105;
октябрь 2020;188;0,000151;
ноябрь 2020;176;0,000145;
декабрь 2020;143;0,000122;
январь 2021;318;0,000285;
февраль 2021;229;0,000189;
март 2021;246;0,000207;
апрель 2021;325;0,000292;
май 2021;283;0,000257;
июнь 2021;274;0,000261;
июль 2021;295;0,000274;
август 2021;222;0,000193;
сентябрь 2021;204;0,000159;
октябрь 2021;186;0,000142;
ноябрь 2021;178;0,000131;
декабрь 2021;139;0,000103;
январь 2022;189;0,000143;
февраль 2022;346;0,000239;
март 2022;297;0,000224;
апрель 2022;338;0,000266;
май 2022;478;0,000405;
июнь 2022;509;0,000448;
июль 2022;366;0,000321;
август 2022;536;0,000424;
сентябрь 2022;505;0,000359;
октябрь 2022;297;0,000201;
ноябрь 2022;262;0,000177;
декабрь 2022;305;0,000209;
январь 2023;266;0,000196;
февраль 2023;388;0,000263;
март 2023;318;0,000227;
апрель 2023;326;0,000248;
май 2023;475;0,000406;
июнь 2023;386;0,000337;
июль 2023;324;0,000280;
август 2023;260;0,000210;
сентябрь 2023;282;0,000205;
октябрь 2023;211;0,000154;
ноябрь 2023;196;0,000139;
декабрь 2023;232;0,000167;
январь 2024;203;0,000152;
февраль 2024;233;0,000174;
март 2024;183;0,000146;
апрель 2024;186;0,000153;
май 2024;258;0,000246;
июнь 2024;248;0,000240;
июль 2024;165;0,000158;
август 2024;129;0,000114;
сентябрь 2024;170;0,000132;
октябрь 2024;138;0,000105;
ноябрь 2024;167;0,000122;
декабрь 2024;167;0,000125;
