Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;193;0,000107;
январь 2018;175;0,000093;
февраль 2018;254;0,000126;
март 2018;227;0,000134;
апрель 2018;207;0,000119;
май 2018;237;0,000145;
июнь 2018;321;0,000188;
июль 2018;316;0,000183;
август 2018;528;0,000277;
сентябрь 2018;711;0,000317;
октябрь 2018;342;0,000171;
ноябрь 2018;386;0,000181;
декабрь 2018;450;0,000202;
январь 2019;398;0,000190;
февраль 2019;532;0,000243;
март 2019;409;0,000200;
апрель 2019;433;0,000215;
май 2019;463;0,000249;
июнь 2019;528;0,000276;
июль 2019;395;0,000208;
август 2019;339;0,000174;
сентябрь 2019;379;0,000184;
октябрь 2019;435;0,000209;
ноябрь 2019;302;0,000138;
декабрь 2019;373;0,000164;
январь 2020;283;0,000129;
февраль 2020;152;0,000067;
март 2020;31;0,000010;
апрель 2020;129;0,000046;
май 2020;151;0,000069;
июнь 2020;109;0,000053;
июль 2020;210;0,000099;
август 2020;316;0,000143;
сентябрь 2020;185;0,000074;
октябрь 2020;249;0,000097;
ноябрь 2020;334;0,000130;
декабрь 2020;458;0,000182;
январь 2021;408;0,000172;
февраль 2021;415;0,000159;
март 2021;437;0,000170;
апрель 2021;463;0,000184;
май 2021;476;0,000189;
июнь 2021;336;0,000138;
июль 2021;445;0,000182;
август 2021;368;0,000145;
сентябрь 2021;344;0,000127;
октябрь 2021;371;0,000135;
ноябрь 2021;304;0,000107;
декабрь 2021;435;0,000151;
январь 2022;347;0,000125;
февраль 2022;533;0,000171;
март 2022;319;0,000112;
апрель 2022;482;0,000168;
май 2022;443;0,000168;
июнь 2022;514;0,000195;
июль 2022;363;0,000135;
август 2022;703;0,000246;
сентябрь 2022;317;0,000104;
октябрь 2022;257;0,000082;
ноябрь 2022;218;0,000069;
декабрь 2022;239;0,000077;
январь 2023;194;0,000067;
февраль 2023;290;0,000093;
март 2023;357;0,000118;
апрель 2023;327;0,000110;
май 2023;438;0,000163;
июнь 2023;338;0,000127;
июль 2023;318;0,000119;
август 2023;187;0,000066;
сентябрь 2023;240;0,000079;
октябрь 2023;210;0,000069;
ноябрь 2023;268;0,000087;
декабрь 2023;322;0,000103;
январь 2024;347;0,000119;
февраль 2024;343;0,000115;
март 2024;221;0,000080;
апрель 2024;283;0,000102;
май 2024;318;0,000127;
июнь 2024;260;0,000105;
июль 2024;217;0,000086;
август 2024;172;0,000065;
сентябрь 2024;205;0,000070;
октябрь 2024;227;0,000074;
ноябрь 2024;171;0,000054;
декабрь 2024;167;0,000054;
