Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;144;0,000254;
январь 2018;108;0,000191;
февраль 2018;77;0,000124;
март 2018;123;0,000221;
апрель 2018;102;0,000185;
май 2018;126;0,000239;
июнь 2018;149;0,000298;
июль 2018;128;0,000247;
август 2018;168;0,000291;
сентябрь 2018;160;0,000239;
октябрь 2018;131;0,000214;
ноябрь 2018;134;0,000229;
декабрь 2018;42;0,000078;
январь 2019;43;0,000086;
февраль 2019;113;0,000217;
март 2019;70;0,000141;
апрель 2019;60;0,000128;
май 2019;84;0,000200;
июнь 2019;58;0,000149;
июль 2019;77;0,000200;
август 2019;49;0,000112;
сентябрь 2019;101;0,000196;
октябрь 2019;65;0,000123;
ноябрь 2019;54;0,000099;
декабрь 2019;65;0,000117;
январь 2020;36;0,000067;
февраль 2020;57;0,000099;
март 2020;36;0,000048;
апрель 2020;36;0,000056;
май 2020;53;0,000095;
июнь 2020;34;0,000068;
июль 2020;51;0,000104;
август 2020;90;0,000169;
сентябрь 2020;78;0,000126;
октябрь 2020;74;0,000110;
ноябрь 2020;64;0,000100;
декабрь 2020;82;0,000130;
январь 2021;105;0,000177;
февраль 2021;139;0,000218;
март 2021;111;0,000173;
апрель 2021;88;0,000144;
май 2021;86;0,000147;
июнь 2021;134;0,000239;
июль 2021;77;0,000140;
август 2021;52;0,000088;
сентябрь 2021;77;0,000120;
октябрь 2021;40;0,000060;
ноябрь 2021;92;0,000133;
декабрь 2021;73;0,000106;
январь 2022;35;0,000052;
февраль 2022;128;0,000173;
март 2022;96;0,000134;
апрель 2022;112;0,000160;
май 2022;120;0,000187;
июнь 2022;153;0,000251;
июль 2022;144;0,000236;
август 2022;326;0,000474;
сентябрь 2022;153;0,000206;
октябрь 2022;150;0,000188;
ноябрь 2022;97;0,000126;
декабрь 2022;104;0,000135;
январь 2023;88;0,000123;
февраль 2023;127;0,000165;
март 2023;76;0,000102;
апрель 2023;112;0,000158;
май 2023;118;0,000187;
июнь 2023;116;0,000191;
июль 2023;98;0,000163;
август 2023;110;0,000169;
сентябрь 2023;134;0,000186;
октябрь 2023;114;0,000158;
ноябрь 2023;70;0,000095;
декабрь 2023;78;0,000106;
январь 2024;95;0,000137;
февраль 2024;83;0,000117;
март 2024;89;0,000132;
апрель 2024;79;0,000121;
май 2024;51;0,000086;
июнь 2024;89;0,000158;
июль 2024;85;0,000153;
август 2024;78;0,000131;
сентябрь 2024;153;0,000223;
октябрь 2024;112;0,000159;
ноябрь 2024;68;0,000091;
декабрь 2024;52;0,000072;
